編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXRMLMKKHOFFAO07CA,水源段,89.99,非都市：特定農業區 ; 非都市編定：農牧用地,60,3,持分移轉,05720000
RPXRMLMKKHOFFAO07CA,水源段,28.52,非都市：特定農業區 ; 非都市編定：農牧用地,60,3,持分移轉,05880000
RPXRMLMKKHOFFAO07CA,水源段,29.37,非都市：特定農業區 ; 非都市編定：農牧用地,60,3,持分移轉,06110000
RPXRMLMKKHOFFAO07CA,水源段,51.71,非都市：特定農業區 ; 非都市編定：農牧用地,60,3,持分移轉,06380000
RPUOMLPKKHOFFAO76CA,金山段,84.36,都市：住,1,1,全筆移轉,05820004
RPRNMLQKKHOFFAO09CA,民主段,116.00,都市：住,1,1,全筆移轉,14310007
RPTQMLOKKHOFFAO76CA,忠孝段,29.89,都市：住,100000,354,持分移轉,02400000
RPUQMLOKKHOFFAO86CA,東光段,19.79,都市：商,100000,333,持分移轉,00220000
RPUNMLPKKHOFFAO66CA,民富段,19.56,都市：商,10000,336,持分移轉,18410000
RPRNMLOKKHOFFAO88CA,中雅段,19.03,都市：商,10000,16,持分移轉,02140000
RPRNMLOKKHOFFAO88CA,崙子段,.41,都市：商,10000,16,持分移轉,20600000
RPUNMLMLKHOFFAO09CA,和平段,28.23,都市：住,10000,547,持分移轉,00150005
RPUNMLMLKHOFFAO09CA,和平段,5.20,都市：住,10000,547,持分移轉,00150007
RPWOMLSKKHOFFAO27CA,光華段,19.20,都市：住,1470,192,持分移轉,08720000
RPRNMLNKKHOFFAO78CA,民富段,53.92,都市：住,100000,1908,持分移轉,09020000
RPRNMLNKKHOFFAO78CA,民富段,4.66,都市：住,100000,1908,持分移轉,09020008
RPWOMLLLKHOFFAO86EA,唐高段,11.00,都市：住,1,1,全筆移轉,03000000
RPWOMLLLKHOFFAO86EA,唐高段,55.00,都市：住,1,1,全筆移轉,03010000
RPWOMLLLKHOFFAO86EA,唐高段,5.00,都市：住,1,1,全筆移轉,03020000
RPVOMLLLKHOFFAO56CA,復中段,32.40,都市：住,10000,128,持分移轉,08300000
RPTOMLSKKHOFFAO96CA,東濱段,149.26,都市：住,40000,29289,持分移轉,11380000
RPTOMLSKKHOFFAO96CA,東濱段,114.99,都市：住,1,1,全筆移轉,11390000
RPTOMLSKKHOFFAO96CA,東濱段,114.99,都市：住,1,1,全筆移轉,11390001
RPUNMLNKKHOFFAO66EA,北門段,26.36,都市：住,10000,229,持分移轉,01330000
RPUNMLNKKHOFFAO66EA,北門段,3.41,都市：其他:道路用地,10000,229,持分移轉,01330001
RPUNMLOKKHOFFAO66DA,忠孝段,119.00,都市：住,1,1,全筆移轉,01410002
RPOPMLOKKHOFFAO78CA,東山段一小段,20.61,都市：其他:道路用地、第二種住宅區,10000,111,持分移轉,09620000
RPTPMLOKKHOFFAO66CA,武陵段,11.23,都市：住,17400,1123,持分移轉,06880000
RPTPMLOKKHOFFAO66CA,武陵段,11.49,都市：住,17800,1149,持分移轉,06890000
RPXNMLOKKHOFFAO86CA,中央段,52.50,都市：商,2,1,持分移轉,01040000
RPRQMLOKKHOFFAO56CA,民主段一小段,2.77,都市：商,10000,13,持分移轉,00140000
RPOPMLPLKHOFFAO98CA,中華段,.05,都市：其他:機關用地,1000000,13633,持分移轉,03730000
RPOPMLPLKHOFFAO98CA,中華段,12.49,都市：住,1000000,13633,持分移轉,03730001
RPOPMLPLKHOFFAO98CA,中華段,3.16,都市：住,1000000,13633,持分移轉,03740000
RPOPMLPLKHOFFAO98CA,中華段,.68,都市：住,1000000,13633,持分移轉,03740001
RPUNMLNLKHOFFAO56CA,北門段,.03,都市：住,100000,1,持分移轉,04530000
RPVNMLNLKHOFFAO66CA,金山段,98.92,都市：住,1,1,全筆移轉,11070003
RPVPMLSJLHOFFAO27CA,新莊段,12.86,都市：住,1000000,34615,持分移轉,04500001
RPVNMLNKLHOFFAO66CA,新莊段,15.17,都市：住,1000000,40844,持分移轉,04500001
RPUNMLNKLHOFFAO56CA,新莊段,18.98,都市：住,1000000,51077,持分移轉,04500001
RPRNMLNKLHOFFAO88CA,新莊段,11.31,都市：住,1000000,30433,持分移轉,04500001
RPUPMLSJLHOFFAO17CA,新莊段,15.90,都市：住,1000000,42802,持分移轉,04500001
RPQNMLNKLHOFFAO78CA,新莊段,12.10,都市：住,1000000,32568,持分移轉,04500001
RPSNMLNKLHOFFAO98CA,新莊段,21.19,都市：住,1000000,57039,持分移轉,04500001
RPTNMLNKLHOFFAO09CA,新莊段,20.43,都市：住,1000000,54993,持分移轉,04500001
RPXNMLNKLHOFFAO86CA,新莊段,14.35,都市：住,1000000,38619,持分移轉,04500001
RPTPMLSJLHOFFAO07CA,新莊段,18.22,都市：住,1000000,49031,持分移轉,04500001
RPOOMLOKKHOFFAO68CA,科園段龍山小段,74.50,都市：住,1,1,全筆移轉,03250022
RPOOMLNKLHOFFAO68CA,新莊段,23.50,都市：住,1000000,63257,持分移轉,04500001
RPPOMLNKLHOFFAO78CA,新莊段,13.65,都市：住,1000000,36751,持分移轉,04500001
RPQOMLNKLHOFFAO88CA,新莊段,34.18,都市：住,1000000,92010,持分移轉,04500001
RPQNMLQKKHOFFAO98CA,南勢段,9.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,620,持分移轉,00300006
RPQNMLQKKHOFFAO98CA,南勢段,57.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00300013
RPROMLNKLHOFFAO98CA,新莊段,19.77,都市：住,1000000,53213,持分移轉,04500001
RPSOMLNKLHOFFAO09CA,新莊段,119.90,都市：住,1000000,322748,持分移轉,04500001
RPSOMLNKLHOFFAO09CA,新莊段,7.20,都市：住,1,1,全筆移轉,04370000
RPUOMLSKKHOFFAO07CA,大學段,6.67,都市：住,10000,183,持分移轉,06450000
RPROMLSKKHOFFAO76CA,北門段,16.02,都市：商,10000,193,持分移轉,17730000
RPVNMLMLKHOFFAO56CA,福林段,19.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2034,持分移轉,07030000
RPQPMLLLKHOFFAO78CA,大學段,8.16,都市：其他:加油站專用區,24,1,持分移轉,07690000
RPQPMLLLKHOFFAO78CA,大學段,8.16,都市：其他:加油站專用區,24,1,持分移轉,07690000
RPQPMLLLKHOFFAO78CA,大學段,62.36,都市：其他:加油站專用區,4,1,持分移轉,07690005
RPQPMLLLKHOFFAO78CA,大學段,62.36,都市：其他:加油站專用區,4,1,持分移轉,07690005
RPWOMLNKKHOFFAO86DA,士林段,107.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,38500,持分移轉,00720000
RPPOMLSKKHOFFAO76EA,復中段,34.00,都市：住,3,1,持分移轉,06220000
RPROMLPJLHOFFAO66EA,自由段,128.00,都市：住,1,1,全筆移轉,01600000
RPRNMLMLKHOFFAO78CA,中央段,17.33,都市：住,15,1,持分移轉,06870000
RPXNMLSKKHOFFAO27CA,復中段,2.42,都市：商,10000,61,持分移轉,02490000
RPXNMLSKKHOFFAO27CA,復中段,.62,都市：商,10000,61,持分移轉,02520000
RPXNMLSKKHOFFAO27CA,復中段,.79,都市：住,10000,61,持分移轉,02630000
RPPNMLLLKHOFFAO48CA,茄苳段,.15,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,46,持分移轉,02100000
RPPNMLLLKHOFFAO48CA,茄苳段,13.68,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,46,持分移轉,02130000
RPRNMLLLKHOFFAO68CA,柑林段,129.61,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,07470104
RPWPMLMLKHOFFAO86CA,西門段二小段,35.00,都市：商,1,1,全筆移轉,00830000
RPOPMLSKKHOFFAO56CA,成功段,10.92,都市：住,10000,28,持分移轉,02820000
RPTOMLPKKHOFFAO66CA,光復段,63.69,都市：住,100000,167,持分移轉,02990000
RPSQMLMLKHOFFAO56CA,光復段,27.62,都市：住,100000,211,持分移轉,14380000
RPWPMLPLKHOFFAO17CA,中華段,115.00,都市：其他:科技商務區,1,1,全筆移轉,00590000
RPPNMLKKLHOFFAO38CA,中雅段,121.00,都市：住,1,1,全筆移轉,01210001
RPSNMLTJLHOFFAO86CA,武陵段,27.93,都市：住,100000,317,持分移轉,11270001
RPRNMLTJLHOFFAO76CA,中華段,96.00,都市：住,1,1,全筆移轉,04970000
RPOOMLMJLHOFFAO48CA,武陵段,42.17,都市：住,10000,466,持分移轉,01500000
RPQOMLTKKHOFFAO76CA,長春段,29.91,都市：住,10000,326,持分移轉,03170003
RPTNMLTJLHOFFAO96CA,雅溪段,.46,非都市：山坡地保育區 ; 非都市編定：農牧用地,100000,228,持分移轉,11710005
RPTNMLTJLHOFFAO96CA,雅溪段,113.12,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,15230000
RPPQMLMLKHOFFAO88CA,師院段,45.22,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,1404,持分移轉,03580000
RPPQMLMLKHOFFAO88CA,師院段,1.02,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,32,持分移轉,03580001
RPPQMLMLKHOFFAO88CA,師院段,10.70,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,1404,持分移轉,03580094
RPPQMLMLKHOFFAO88CA,師院段,65.10,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03580107
RPPOMLNLKHOFFAO78CA,復中段,18.98,都市：住,10000,75,持分移轉,08300000
RPSOMLSKKHOFFAO86CA,民富段,89.00,都市：住,1,1,全筆移轉,00340000
RPSNMLQKKHOFFAO56CA,朝山段一小段,17.71,都市：商,100000,2970,持分移轉,00480000
RPXNMLTKKHOFFAO37CA,東山段二小段,134.00,都市：住,1,1,全筆移轉,07350000
RPSOMLTKKHOFFAO96CA,唐高段,23.01,都市：住,100000,331,持分移轉,07090000
RPSOMLTKKHOFFAO96CA,唐高段,.69,都市：住,4400000,10923,持分移轉,07250000
RPSOMLTKKHOFFAO96CA,唐高段,.45,都市：住,4400000,9467,持分移轉,07260000
RPXPMLNKLHOFFAO07CA,南湖段,.47,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,3,持分移轉,00060000
RPXPMLNKLHOFFAO07CA,南湖段,39.80,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,172,3,持分移轉,00060014
RPXPMLNKLHOFFAO07CA,南湖段,176.52,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00080210
RPTOMLTKKHOFFAO07CA,唐高段,23.01,都市：住,100000,331,持分移轉,07090000
RPTOMLTKKHOFFAO07CA,唐高段,.69,都市：住,4400000,10923,持分移轉,07250000
RPTOMLTKKHOFFAO07CA,唐高段,.45,都市：住,4400000,9467,持分移轉,07260000
RPXPMLKLKHOFFAO76CA,西濱段,74.22,都市：住,1,1,全筆移轉,07160013
RPQNMLQJLHOFFAO98CA,麗園段,1023.05,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03220017
RPROMLLLKHOFFAO78CA,唐高段,21.17,都市：住,100000,1447,持分移轉,01120000
RPOOMLSKKHOFFAO66EA,鹽水段,75.49,都市：住,1,1,全筆移轉,11270000
RPVOMLQJLHOFFAO96CA,港南段,182.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09070000
RPQNMLMJLHOFFAO58CA,光華段,18.29,都市：住,14,1,持分移轉,02660000
RPPNMLMJLHOFFAO48CA,國道段,9.71,都市：商,100000,193,持分移轉,10250000
RPROMLTKKHOFFAO07EA,香雅段,2.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,192,1,持分移轉,07940000
RPROMLTKKHOFFAO07EA,香雅段,4.61,非都市：鄉村區 ; 非都市編定：乙種建築用地,768,1,持分移轉,07950000
RPSOMLLLKHOFFAO88CA,華江段,56.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06210005
