編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTQMLOKKHOFFAO76CA,坡道平面,1000000,,
RPTQMLOKKHOFFAO76CA,坡道平面,1000000,,
RPUQMLOKKHOFFAO86CA,坡道平面,0,,
RPRNMLOKKHOFFAO88CA,坡道平面,0,,
RPUNMLMLKHOFFAO09CA,坡道機械,0,,
RPRNMLNKKHOFFAO78CA,坡道平面,0,28.16,
RPRNMLNKKHOFFAO78CA,坡道平面,0,28.16,
RPRNMLNKKHOFFAO78CA,坡道平面,0,29.83,
RPVOMLLLKHOFFAO56CA,坡道平面,0,33.58,
RPVOMLLLKHOFFAO56CA,坡道平面,0,33.58,
RPTPMLOKKHOFFAO66CA,坡道平面,0,,
RPOPMLPLKHOFFAO98CA,坡道平面,0,,
RPUNMLNLKHOFFAO56CA,坡道平面,1400000,28.01,
RPROMLSKKHOFFAO76CA,坡道機械,0,16.53,
RPVNMLMLKHOFFAO56CA,坡道機械,0,8.27,
RPRNMLMLKHOFFAO78CA,其他,0,,
RPRNMLMLKHOFFAO78CA,其他,0,,
RPTOMLPKKHOFFAO66CA,坡道平面,0,,
RPSNMLTJLHOFFAO86CA,坡道平面,0,,
RPOOMLMJLHOFFAO48CA,坡道平面,0,,
RPQOMLTKKHOFFAO76CA,坡道平面,0,23.45,
RPPOMLNLKHOFFAO78CA,坡道平面,0,33.58,
RPPOMLNLKHOFFAO78CA,坡道平面,0,33.58,
RPSOMLTKKHOFFAO96CA,坡道平面,1200000,28.10,
RPPNMLMJLHOFFAO48CA,坡道平面,0,33.07,
RPPNMLRLKHOFFAO09CA,坡道平面,0,,
RPPNMLRLKHOFFAO09CA,坡道平面,0,,
RPRPMLLLKHOFFAO88CA,坡道平面,1500000,,
RPRPMLLLKHOFFAO88CA,坡道平面,1500000,,
RPSPMLLLKHOFFAO98CA,升降機械,0,10.44,
RPPNMLKLKHOFFAO38CA,坡道平面,0,,
RPUOMLTKKHOFFAO17CA,坡道平面,1350000,28.10,
RPPOMLMJLHOFFAO58CA,坡道平面,0,,
RPPNMLOKLHOFFAO78CA,坡道平面,0,,
RPPNMLOKLHOFFAO78CA,坡道平面,0,,
RPXOMLPJLHOFFAO07CA,坡道平面,0,34.06,
RPSPMLPJLHOFFAO66CA,坡道平面,0,,
RPSPMLPJLHOFFAO66CA,坡道平面,0,,
RPWNMLMJLHOFFAO56CA,坡道機械,0,,
RPVPMLQLKHOFFAO17CA,坡道平面,0,,
RPQNMLKLKHOFFAO48CA,坡道平面,1500000,27.58,
RPQNMLKLKHOFFAO48CA,坡道平面,1500000,27.58,
RPQPMLMLKHOFFAO88CA,坡道平面,1000000,32.72,
RPPRMLSJLHOFFAO86CA,升降機械,0,,
RPUPMLMLKHOFFAO66CA,坡道平面,0,,
RPOPMLQLKHOFFAO09CA,一樓平面,0,,
RPRPMLMLKHOFFAO56EA,坡道平面,0,14.05,
RPXNMLLLKHOFFAO66CA,塔式車位,0,19.52,
RPPNMLOLKHOFFAO78CA,坡道機械,0,,
RPSOMLQLKHOFFAO76CA,坡道平面,0,32.95,
RPSOMLQJLHOFFAO66CA,坡道平面,0,31.29,
RPRNMLMJLHOFFAO68CA,坡道平面,0,33.07,
RPPOMLRJLHOFFAO09CA,坡道平面,0,,
RPPNMLOJLHOFFAO68CA,一樓平面,0,,
RPSQMLNKLHOFFAO66CA,坡道平面,0,,
RPWNMLQLKHOFFAO07CA,坡道平面,1650000,29.71,
RPSPMLQLKHOFFAO86CA,升降機械,0,,
RPRPMLPLKHOFFAO66CA,坡道平面,0,,
RPRPMLLKLHOFFAO88CA,坡道平面,0,,
RPSPMLMLKHOFFAO09CA,坡道機械,0,,
RPTOMLQLKHOFFAO07EA,坡道平面,0,,
RPSNMLMKLHOFFAO88CA,坡道平面,0,,
RPVNMLPLKHOFFAO07EA,坡道平面,0,,
RPSNMLPLKHOFFAO56CA,坡道平面,0,,
RPQNMLRLKHOFFAO56CA,升降機械,0,,
RPUNMLQLKHOFFAO86CA,坡道平面,0,,
RPQNMLQLKHOFFAO09CA,坡道平面,0,,
RPWOMLQLKHOFFAO17CA,坡道平面,0,,
RPXOMLQLKHOFFAO27CA,坡道平面,0,,
RPXPMLSJLHOFFAO47CA,坡道機械,0,,
RPPPMLOJLHOFFAO88CA,坡道平面,0,,
RPVNMLPJLHOFFAO76CA,坡道平面,466666,31.40,
RPVNMLPJLHOFFAO76CA,坡道平面,466666,31.40,
RPVNMLPJLHOFFAO76CA,坡道平面,466666,31.40,
RPVNMLPJLHOFFAO76CA,坡道平面,466666,31.40,
RPVNMLPJLHOFFAO76CA,坡道平面,466666,31.40,
RPVNMLPJLHOFFAO76CA,坡道平面,466666,31.40,
RPVNMLPJLHOFFAO76CA,坡道平面,466666,31.40,
RPVNMLPJLHOFFAO76CA,坡道平面,466666,31.40,
RPVNMLPJLHOFFAO76CA,坡道平面,466666,31.40,
RPVNMLPJLHOFFAO76CA,坡道平面,466666,31.40,
RPVNMLPJLHOFFAO76CA,坡道平面,466666,31.40,
RPVNMLPJLHOFFAO76CA,坡道平面,466666,31.40,
RPVNMLPJLHOFFAO76CA,坡道平面,466666,31.40,
RPVNMLPJLHOFFAO76CA,坡道平面,466666,31.40,
