編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLTJMHOFFAO37CB,光武段,.23,都市：商,100000,114,持分移轉,10220000
RPVNMLTJMHOFFAO37CB,光武段,1.88,都市：商,100000,114,持分移轉,10230000
RPVNMLTJMHOFFAO37CB,光武段,.38,都市：商,100000,114,持分移轉,10240000
RPVNMLTJMHOFFAO37CB,光武段,.53,都市：商,100000,114,持分移轉,10250000
RPVNMLTJMHOFFAO37CB,光武段,.31,都市：商,100000,114,持分移轉,10260000
RPVNMLTJMHOFFAO37CB,光武段,1.77,都市：商,100000,114,持分移轉,10270000
RPVNMLTJMHOFFAO37CB,光武段,1.39,都市：商,100000,114,持分移轉,10280000
RPVNMLTJMHOFFAO37CB,光武段,.31,都市：商,100000,114,持分移轉,10300000
RPVNMLTJMHOFFAO37CB,光武段,.51,都市：商,100000,114,持分移轉,10310000
RPVNMLTJMHOFFAO37CB,光武段,1.32,都市：商,100000,114,持分移轉,10320000
RPVNMLTJMHOFFAO37CB,光武段,.59,都市：商,100000,114,持分移轉,10330000
RPVNMLTJMHOFFAO37CB,光武段,.25,都市：商,100000,114,持分移轉,10340000
RPVNMLTJMHOFFAO37CB,光武段,.54,都市：商,100000,114,持分移轉,10410000
RPVNMLTJMHOFFAO37CB,光武段,.35,都市：商,100000,114,持分移轉,10420000
RPVNMLTJMHOFFAO37CB,光武段,.40,都市：商,100000,114,持分移轉,10430000
RPVNMLTJMHOFFAO37CB,光武段,.23,都市：商,100000,114,持分移轉,10440000
RPVNMLTJMHOFFAO37CB,光武段,.40,都市：商,100000,114,持分移轉,10450000
RPVNMLTJMHOFFAO37CB,光武段,1.17,都市：商,100000,114,持分移轉,10460000
RPVNMLTJMHOFFAO37CB,光武段,1.78,都市：商,100000,114,持分移轉,10470000
RPVNMLTJMHOFFAO37CB,光武段,.56,都市：商,100000,114,持分移轉,12530000
RPVNMLTJMHOFFAO37CB,光武段,.23,都市：商,100000,114,持分移轉,12540000
RPVNMLTJMHOFFAO37CB,光武段,.19,都市：商,100000,114,持分移轉,12550000
RPWNMLTJMHOFFAO47CB,光武段,.23,都市：商,100000,114,持分移轉,10220000
RPWNMLTJMHOFFAO47CB,光武段,1.88,都市：商,100000,114,持分移轉,10230000
RPWNMLTJMHOFFAO47CB,光武段,.38,都市：商,100000,114,持分移轉,10240000
RPWNMLTJMHOFFAO47CB,光武段,.53,都市：商,100000,114,持分移轉,10250000
RPWNMLTJMHOFFAO47CB,光武段,.31,都市：商,100000,114,持分移轉,10260000
RPWNMLTJMHOFFAO47CB,光武段,1.77,都市：商,100000,114,持分移轉,10270000
RPWNMLTJMHOFFAO47CB,光武段,1.39,都市：商,100000,114,持分移轉,10280000
RPWNMLTJMHOFFAO47CB,光武段,.31,都市：商,100000,114,持分移轉,10300000
RPWNMLTJMHOFFAO47CB,光武段,.51,都市：商,100000,114,持分移轉,10310000
RPWNMLTJMHOFFAO47CB,光武段,1.32,都市：商,100000,114,持分移轉,10320000
RPWNMLTJMHOFFAO47CB,光武段,.59,都市：商,100000,114,持分移轉,10330000
RPWNMLTJMHOFFAO47CB,光武段,.25,都市：商,100000,114,持分移轉,10340000
RPWNMLTJMHOFFAO47CB,光武段,.54,都市：商,100000,114,持分移轉,10410000
RPWNMLTJMHOFFAO47CB,光武段,.35,都市：商,100000,114,持分移轉,10420000
RPWNMLTJMHOFFAO47CB,光武段,.40,都市：商,100000,114,持分移轉,10430000
RPWNMLTJMHOFFAO47CB,光武段,.23,都市：商,100000,114,持分移轉,10440000
