編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPPMLPKKHOFFAO56CC,聚吉段,.00,都市：商,,,,00490061
RPPPMLPKKHOFFAO56CC,聚吉段,.00,都市：商,,,,00490062
RPPPMLPKKHOFFAO56CC,聚吉段,.00,都市：商,,,,00820007
RPSNMLTKKHOFFAO07CC,科學段一小段,.00,都市：住,,,,07090006
RPPQMLKLKHOFFAO88CC,榮光段一小段,.00,都市：商,,,,00120000
RPSOMLMLKHOFFAO56CC,崙子段,.00,都市：住,,,,00230000
RPVOMLMLKHOFFAO86CC,民富段,.00,都市：住,,,,03640018
RPPPMLLLKHOFFAO88CC,科學段一小段,.00,都市：住,,,,07090006
RPWOMLSJLHOFFAO57DC,復中段,.00,都市：商,,,,00300000
RPUOMLMLKHOFFAO76CC,東山段一小段,.00,都市：商,,,,07490000
RPQQMLKLKHOFFAO98CC,東光段,.00,都市：其他:複商,,,,04150000
RPOQMLMLKHOFFAO98CC,親仁段二小段,.00,都市：住,,,,00010000
RPVPMLPLKHOFFAO27CC,親仁段二小段,.00,都市：住,,,,00010000
RPQNMLRKLHOFFAO76CC,崙子段,.00,都市：住,,,,00230000
RPPPMLSJLHOFFAO86CC,東明段,.00,都市：商,,,,00720000
RPXOMLSJLHOFFAO57CC,新興段,.00,都市：住,,,,00890034
RPVNMLRJLHOFFAO17CC,長春段,.00,都市：住,,,,13680000
RPVNMLRJLHOFFAO17CC,長春段,.00,都市：住,,,,13540000
RPPNMLRKLHOFFAO66CC,信義段,277.66,都市：住,,,,05130004
RPVNMLRJLHOFFAO17CC,長春段,.00,都市：其他:科技產業專用區,,,,13410007
RPOPMLSJLHOFFAO76CC,長春段,.00,都市：住,,,,16400000
RPQOMLOKLHOFFAO56CC,南湖段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,04110000
RPQOMLOKLHOFFAO56CC,南湖段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,04110003
RPXOMLLKLHOFFAO96CC,民主段一小段,.00,都市：商,,,,00660000
RPWNMLMKLHOFFAO86CC,榮光段一小段,.00,都市：商,,,,00120000
RPUNMLTKLHOFFAO57EC,國道段,26.30,都市：住,,,,10960000
RPRNMLQJLHOFFAO66CC,聚吉段,.00,都市：商,,,,00560008
RPRQMLMLLHOFFAO76CC,民主段,.00,都市：住,,,,06490002
RPOQMLMLLHOFFAO09CC,福林段,.00,都市：住,,,,02630003
RPTNMLMLLHOFFAO66CC,中山段三小段,.00,都市：商,,,,03470000
RPSQMLMLLHOFFAO86CC,三姓段,.00,都市：商,,,,05210000
RPRNMLRLLHOFFAO96CC,聚吉段,.00,都市：商,,,,00850000
RPWOMLPLLHOFFAO37CC,光武段,.00,都市：住,,,,11390000
RPUOMLPLLHOFFAO17CC,光武段,.00,都市：住,,,,11390000
