編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVPMLPLKHOFFAO27CC,坡道平面,0,27.10,
RPPPMLSJLHOFFAO86CC,坡道平面,0,,
RPOPMLSJLHOFFAO76CC,坡道平面,0,32.22,
RPOPMLSJLHOFFAO76CC,坡道平面,0,32.22,
RPUNMLTKLHOFFAO57EC,坡道平面,0,,
RPWOMLPLLHOFFAO37CC,坡道平面,0,31.22,
RPUOMLPLLHOFFAO17CC,坡道平面,0,31.22,
RPPNMLKMLHOFFAO78CC,坡道平面,0,31.22,
RPQNMLKMLHOFFAO88CC,坡道平面,0,,
RPPOMLKLLHOFFAO78CC,坡道平面,0,,
RPVNMLSKLHOFFAO37CC,坡道平面,0,,
RPWNMLKLLHOFFAO76CC,坡道平面,0,31.22,
RPSNMLRKLHOFFAO96CC,坡道平面,0,,
RPUNMLMKMHOFFAO76CC,坡道平面,0,,
RPQNMLMKMHOFFAO98CC,坡道平面,0,,
RPPNMLOJMHOFFAO98CC,坡道平面,0,39.60,
RPQNMLNLMHOFFAO56CC,坡道平面,0,34.82,
RPQOMLNLMHOFFAO66CC,坡道平面,0,,
RPQOMLNLMHOFFAO66CC,坡道機械,0,,
RPPRMLOLMHOFFAO96CC,坡道平面,0,,
RPVPMLPLMHOFFAO47CC,坡道平面,0,25.00,
