鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
斗六市,房地(土地+建物),雲林縣斗六市長春路１４號,24.05,住,,,1071229,土地1建物1車位0,一層，二層，騎樓,八層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0860109,152.47,3,1,2,有,有,8200000,53781,,0.0,0,,RPWOMLNKKHOFFAP86CA,105.58,0.0,9.36,,
西螺鎮,土地,三塊厝段鹿場小段808地號,4200.0,,特定農業區,農牧用地,1080109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9500000,2262,,0.0,0,,RPTOMLOKKHOFFCP86CA,0.0,0.0,0.0,,
北港鎮,土地,北港段1421-1地號,1647.17,住,,,1071119,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,51670000,31369,,0.0,0,,RPPNMLSKKHOFFEP96CA,0.0,0.0,0.0,,
四湖鄉,土地,南光段946地號,1112.16,,一般農業區,農牧用地,1080102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,689681,620,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLKLKHOFFEP56CA,0.0,0.0,0.0,,
麥寮鄉,土地,後安段408地號,4732.69,,一般農業區,養殖用地,1080122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5600000,1183,,0.0,0,含增建或未登記建物。；,RPRNMLMKKHOFFFP66CA,0.0,0.0,0.0,,
麥寮鄉,土地,泰順段630地號,504.16,住,,,1071231,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12772437,25334,,0.0,0,包含公共設施保留地之交易。；,RPRNMLQLKHOFFFP17CA,0.0,0.0,0.0,,
莿桐鄉,土地,番子段2219地號,1979.0,,特定農業區,農牧用地,1071106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1979000,1000,,0.0,0,375租約與108年螺六跨字第110號連結,RPVNMLKLKHOFFAP56DA,0.0,0.0,0.0,,
莿桐鄉,土地,番子段2213地號,1979.0,,特定農業區,農牧用地,1071106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1979000,1000,,0.0,0,375租約與108年螺六跨字120號連結,RPWNMLKLKHOFFAP66DA,0.0,0.0,0.0,,
斗六市,土地,大潭段社口小段103-36地號,109.0,住,,,1080114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,45872,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLQJLHOFFAP56DA,0.0,0.0,0.0,,
