編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWOMLNKKHOFFAP86CA,22,114.94,住商用,鋼筋混凝土造,86年1月9日,八層,一層 二層 陽台 騎樓
RPWOMLNKKHOFFAP86CA,22,14.98,共有部份,鋼筋混凝土造,86年1月9日,八層,
RPWOMLNKKHOFFAP86CA,22,22.55,共有部份,鋼筋混凝土造,86年1月9日,八層,
RPQNMLPKKHOFFDP76DA,4,233.54,住家用,鋼筋混凝土造,103年12月6日,四層,一層 二層 三層 四層 陽台
RPUOMLOKKHOFFCP96CA,,242.73,住家用﹝住宅、樓梯間﹞,鋼筋混凝土造,107年8月4日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLKLKHOFFCP78CA,23,269.03,住商用,鋼筋混凝土造,85年1月11日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
RPRNMLOKKHOFFDP66CA,4,259.02,住家用,鋼筋混凝土造,103年9月16日,四層,一層 二層 三層 四層 陽台
RPWNMLNKKHOFFAP76CA,13,223.24,儲藏室、住宅,鋼筋混凝土造,95年1月17日,三層,一層 二層 三層 電梯樓梯間 地下層 見其他登記事項
RPOOMLNKKHOFFAP68CA,3,175.11,住家用,鋼筋混凝土造,104年11月5日,三層,一層 二層 三層 陽台
RPQNMLOKKHOFFAP88CA,18,221.88,住家用,鋼筋混凝土造,90年3月15日,三層,一層 二層 三層 陽台 平台 電梯樓梯間 雨遮
RPPNMLPKKHOFFBP98CA,4,288.29,住家用,鋼筋混凝土造,104年4月20日,四層,一層 二層 三層 四層 陽台
RPOOMLPKKHOFFBP98CA,40,104.90,住家用,加強磚造,68年3月13日,二層,一層 二層 電梯樓梯間
RPQNMLPJLHOFFBP09CA,,169.50,住家用,鋼筋混凝土造,107年11月21日,三層,一層 二層 三層 陽台
RPSNMLPJLHOFFBP66CA,,173.26,住家用,鋼筋混凝土造,107年11月21日,三層,一層 二層 三層 陽台
RPRNMLPJLHOFFBP56CA,,168.28,住家用,鋼筋混凝土造,107年11月21日,三層,一層 二層 三層 陽台
RPTNMLPJLHOFFBP76CA,,164.61,住家用,鋼筋混凝土造,107年11月21日,三層,一層 二層 三層 陽台
RPPOMLOKKHOFFAP88CA,38,95.40,住商用,加強磚造,70年6月18日,二層,一層 二層 騎樓
RPQOMLOKKHOFFAP98CA,1,172.23,住宅、樓梯間,鋼筋混凝土造,107年2月1日,三層,一層 二層 三層 陽台 屋頂突出物
RPSOMLOKKHOFFAP56CA,25,187.91,住家用,鋼筋混凝土造,82年11月22日,四層,一層 二層 三層 四層 陽台 平台 電梯樓梯間
