編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTOMLOKKHOFFCP86CA,三塊厝段鹿場小段,4200.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08080000
RPWOMLNKKHOFFAP86CA,海豐崙段朱丹灣小段,24.05,都市：住,10000,551,持分移轉,03540003
RPRNMLMKKHOFFFP66CA,後安段,4732.69,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,04080000
RPPNMLSKKHOFFEP96CA,北港段,1470.00,都市：住,1,1,全筆移轉,14210000
RPPNMLSKKHOFFEP96CA,北港段,177.17,都市：其他:道路用地,4888,2000,持分移轉,14210001
RPSNMLKLKHOFFEP56CA,南光段,1112.16,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,09460000
RPVNMLKLKHOFFAP56DA,番子段,1979.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,22190000
RPWNMLKLKHOFFAP66DA,番子段,1979.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,22130000
RPWNMLSKKHOFFCP57DA,茄苳段,570.00,非都市：特定農業區 ; 非都市編定：農牧用地,1590,570,持分移轉,08660000
RPQNMLQJLHOFFAP56DA,大潭段社口小段,109.00,都市：住,1,1,全筆移轉,01030036
RPXNMLSKKHOFFCP67DA,埤頭埧段,714.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10620000
RPPOMLSKKHOFFCP96DA,茄苳段,3165.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08640000
RPOOMLSKKHOFFCP86DA,茄苳段,2891.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08650000
RPQOMLSKKHOFFCP07DA,新宅段,366.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10720000
RPQOMLSKKHOFFCP07DA,新宅段,1206.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10730000
RPQOMLSKKHOFFCP07DA,新宅段,1347.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10740000
RPRNMLNKKHOFFFP86DA,楊厝段,2409.35,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,10850000
RPQNMLPKKHOFFDP76DA,高南段,112.78,都市：住,1,1,全筆移轉,04190044
RPQNMLPKKHOFFDP76DA,高南段,28.73,都市：住,12,1,持分移轉,04190047
RPQNMLPKKHOFFDP76DA,高南段,.50,都市：住,26,1,持分移轉,04190075
RPVNMLMKKHOFFBP86EA,豐田段,1639.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13750000
RPVNMLMKKHOFFBP86EA,豐田段,2122.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13760000
RPRNMLSKKHOFFAP96EA,芎蕉段,215.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,59551,21551,持分移轉,10110000
RPTNMLNKKHOFFFP96CA,五港段,1453.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10860000
RPPOMLNKKHOFFAP88DA,新園段,61.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,1305,300,持分移轉,04080000
RPPNMLOKKHOFFFP66CA,興寮段,247.56,非都市：一般農業區 ; 非都市編定：農牧用地,8,1,持分移轉,12840000
RPPNMLOKKHOFFFP66CA,興寮段,247.58,非都市：一般農業區 ; 非都市編定：農牧用地,8,1,持分移轉,12850000
RPUNMLNKKHOFFFP07CA,麥中段,2844.14,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12490000
RPUNMLNKKHOFFFP07CA,麥中段,2844.14,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12490000
RPWNMLNKKHOFFEP17CA,三王段,1582.06,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06100000
RPSNMLNKKHOFFEP76CA,西井段,3926.10,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10770000
RPVNMLNKKHOFFEP07CA,西興段,2802.65,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01440000
RPUOMLOKKHOFFCP96CA,南榮段,149.31,都市：住,1,1,全筆移轉,11210002
RPRNMLNKKHOFFCP09CA,頂湳段,1000.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11580000
RPQNMLKLKHOFFCP78CA,大同段,78.68,都市：住,1,1,全筆移轉,02540000
RPQNMLKLKHOFFCP78CA,大同段,21.04,都市：住,1,1,全筆移轉,02550000
RPUNMLNKKHOFFDP86CA,大屯子段,2429.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03550003
RPSNMLRLKHOFFDP17CA,崙內段,2498.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09110000
RPRNMLOKKHOFFDP66CA,高南段,133.12,都市：住,1,1,全筆移轉,04190015
RPSNMLRLKHOFFDP17CA,崙內段,401.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,09110001
RPRNMLOKKHOFFDP66CA,高南段,22.56,都市：住,16,1,持分移轉,04190024
RPRNMLOKKHOFFDP66CA,高南段,8.35,都市：住,1,1,全筆移轉,04190026
RPRNMLOKKHOFFDP66CA,高南段,.41,都市：住,32,1,持分移轉,04190029
RPWNMLNKKHOFFAP76CA,海豐崙段海豐崙小段,9.00,都市：住,1,1,全筆移轉,04170025
RPWNMLNKKHOFFAP76CA,海豐崙段海豐崙小段,107.00,都市：住,1,1,全筆移轉,04170040
RPWNMLRKKHOFFDP47CA,明正段,8.99,都市：住,1,1,全筆移轉,02090000
RPWNMLRKKHOFFDP47CA,明正段,85.40,都市：住,1,1,全筆移轉,02100000
RPWNMLRKKHOFFDP47CA,明正段,84.85,都市：住,1,1,全筆移轉,02130000
RPWNMLRKKHOFFDP47CA,明正段,8.95,都市：住,1,1,全筆移轉,02140000
RPWNMLRKKHOFFDP47CA,明正段,1.53,都市：其他:道路用地,1,1,全筆移轉,02110000
RPWNMLRKKHOFFDP47CA,明正段,1.62,都市：其他:道路用地,1,1,全筆移轉,02120000
RPWNMLRKKHOFFDP47CA,明正段,6.77,都市：其他:道路用地,1,1,全筆移轉,02100001
RPWNMLRKKHOFFDP47CA,明正段,6.74,都市：其他:道路用地,1,1,全筆移轉,02130001
RPOOMLNKKHOFFAP68CA,九老爺段,96.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01050061
RPQNMLOKKHOFFAP88CA,光明段,99.05,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,07090001
RPXNMLPLKHOFFBP27CA,中天段,94.00,都市：商,1,1,全筆移轉,09640004
RPSNMLMLKHOFFBP09CA,文安段,20.18,都市：住,15,3,持分移轉,02680013
RPPNMLPKKHOFFBP98CA,北銘段,1.67,都市：住,24,1,持分移轉,05830018
RPPNMLPKKHOFFBP98CA,北銘段,43.12,都市：住,1000,245,持分移轉,05830019
RPPNMLPKKHOFFBP98CA,北銘段,217.00,都市：住,1,1,全筆移轉,05830020
RPOOMLPKKHOFFBP98CA,西岐段,83.00,都市：住,1,1,全筆移轉,01180000
RPQNMLPJLHOFFBP09CA,明昌段,91.00,都市：住,1,1,全筆移轉,17150016
RPQNMLPJLHOFFBP09CA,明昌段,9.00,都市：住,1,1,全筆移轉,17150015
RPQNMLPJLHOFFBP09CA,明昌段,28.33,都市：住,9,1,持分移轉,17150014
RPPNMLTKKHOFFBP76CA,田子林段,1238.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,29050000
RPSNMLPJLHOFFBP66CA,明昌段,129.00,都市：住,1,1,全筆移轉,17150013
RPRNMLPJLHOFFBP56CA,明昌段,102.00,都市：住,1,1,全筆移轉,17150001
RPTNMLPJLHOFFBP76CA,明昌段,104.00,都市：住,1,1,全筆移轉,17150021
RPXNMLOKKHOFFAP96CA,崙北段,978.83,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01370000
RPOOMLOKKHOFFAP78CA,大埔尾段,1470.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,22630000
RPPNMLOKKHOFFAP78CA,崙仔段,31.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,287,30,持分移轉,02170000
RPPNMLOKKHOFFAP78CA,崙仔段,415.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02230000
RPQNMLPKKHOFFAP98CA,溪洲段,46.56,非都市：鄉村區 ; 非都市編定：乙種建築用地,500,84,持分移轉,05510002
RPQNMLPKKHOFFAP98CA,溪洲段,138.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,250,84,持分移轉,05510003
RPPOMLOKKHOFFAP88CA,後庄段,89.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08470000
RPQOMLOKKHOFFAP98CA,溪洲段,87.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04670006
RPSOMLOKKHOFFAP56CA,保長?段保長?小段,93.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03570066
RPTNMLOKKHOFFCP76CA,興西段,121.02,都市：住,1,1,全筆移轉,01870005
RPUNMLOKKHOFFCP86CA,五塊厝段,2163.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07170000
RPROMLSKKHOFFCP07CA,天后段,197.52,都市：住,1,1,全筆移轉,05660000
RPWNMLRJLHOFFAP27DA,大潭段社口小段,57.67,都市：商,3,1,持分移轉,00920018
RPWNMLRJLHOFFAP27DA,大潭段社口小段,2.67,都市：住,3,1,持分移轉,00920406
SPROMLSKKHOFFCP17CA,天后段,2.78,都市：住,24,2,持分移轉,05730000
RPTOMLSKKHOFFCP27CA,南榮段,128.23,都市：住,1,1,全筆移轉,10830004
RPSOMLSKKHOFFCP17CA,南榮段,113.95,都市：住,1,1,全筆移轉,11170016
RPUOMLSKKHOFFCP37CA,五塊厝段,4006.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05650000
RPQNMLSKKHOFFEP07CA,和平段,1801.20,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01200000
RPPNMLPKKHOFFEP66CA,東陽段,870.81,都市：住,1,1,全筆移轉,01850000
RPPNMLPKKHOFFEP66CA,東陽段,33.28,都市：其他:道路用地,1,1,全筆移轉,01850001
RPPNMLPKKHOFFEP66CA,東陽段,20.60,都市：其他:道路用地,1,1,全筆移轉,01850002
RPPNMLPKKHOFFEP66CA,東陽段,706.70,都市：農,1,1,全筆移轉,01860000
RPPNMLPKKHOFFEP66CA,東陽段,3.63,都市：其他:道路用地,1,1,全筆移轉,01860003
RPPNMLPKKHOFFEP66CA,東陽段,71.38,都市：農,1,1,全筆移轉,01870000
RPPNMLPKKHOFFEP66CA,東陽段,45.02,都市：住,1,1,全筆移轉,01890000
RPPNMLPKKHOFFEP66CA,東陽段,.30,都市：其他:道路用地,1,1,全筆移轉,01890001
RPPNMLPKKHOFFEP66CA,東陽段,.07,都市：其他:道路用地,1,1,全筆移轉,01890002
RPWOMLTKKHOFFDP77CA,石廟子段,2094.00,都市：其他:住宅區(附條件),1,1,全筆移轉,09690000
RPRNMLQLKHOFFFP17CA,泰順段,48.37,都市：住,1,1,全筆移轉,06170000
RPVOMLTKKHOFFDP67CA,奮起段,2108.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05900000
RPRNMLQLKHOFFFP17CA,泰順段,48.59,都市：其他:計畫道路,3,2,持分移轉,06140000
RPRNMLQLKHOFFFP17CA,泰順段,49.37,都市：其他:計畫道路,1,1,全筆移轉,06180000
RPRNMLQLKHOFFFP17CA,泰順段,357.83,都市：住,1,1,全筆移轉,06300000
RPUOMLTKKHOFFDP57CA,內安段,135.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05120014
SPQNMLNKLHOFFFP86CA,新中段,113.69,都市：農,1,1,全筆移轉,06830000
SPQNMLNKLHOFFFP86CA,新中段,1.02,都市：農,1,1,全筆移轉,06830001
RPQNMLNKLHOFFFP76CA,新中段,47.19,都市：農,1,1,全筆移轉,08960000
RPQNMLNKLHOFFFP76CA,新中段,40.37,都市：農,1,1,全筆移轉,08960002
