鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
朴子市,房地(土地+建物),嘉義縣朴子市小?榔一路３１５號,144.53,住,,,1080106,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0930326,187.81,3,2,3,有,有,6300000,33545,,0.0,0,,RPPNMLPKKHOFFBQ09CA,171.33,0.0,11.0,,
東石鄉,土地,下揖子寮段227-7地號,1447.7,,一般農業區,農牧用地,1080117,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,484,,0.0,0,,RPRNMLPKKHOFFBQ66CA,0.0,0.0,0.0,,
新港鄉,土地,新港段福德小段4-38地號,32.83,住,,,1071222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,320000,9747,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLSKKHOFFCQ07CA,0.0,0.0,0.0,,
番路鄉,土地,南下坑段809地號,1283.7,住,,,1071228,土地15建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33000000,25707,,0.0,0,,RPQNMLQKKHOFFEQ96CA,0.0,0.0,0.0,,
番路鄉,土地,內甕段564-7地號,2414.0,其他,,,1071209,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2165000,897,,0.0,0,,RPRNMLKLKHOFFEQ56CA,0.0,0.0,0.0,,
梅山鄉,土地,龍眼林段513-1地號,4643.0,,山坡地保育區,林業用地,1080128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,129,,0.0,0,,RPPNMLMKKHOFFEQ66EA,0.0,0.0,0.0,,
竹崎鄉,土地,番子潭段64-17地號,784.79,,一般農業區,農牧用地,1080119,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2848560,3630,,0.0,0,,RPRNMLNKKHOFFEQ96EA,0.0,0.0,0.0,,
番路鄉,土地,番路段2-96地號,231.57,,山坡地保育區,林業用地,1080127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1360000,5873,,0.0,0,土地上含未保存建物一棟。,RPQNMLPKKHOFFEQ07EA,0.0,0.0,0.0,,
番路鄉,土地,番路段2-96地號,192.86,,山坡地保育區,林業用地,1080127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,680000,3526,,0.0,0,,RPRNMLPKKHOFFEQ17EA,0.0,0.0,0.0,,
