編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLPKKHOFFBQ09CA,15,182.33,集合住宅、停車空間、日常商品服務業,鋼筋混凝土造,93年3月26日,四層,一層 二層 三層 四層 陽台
RPPNMLPKKHOFFBQ09CA,15,5.48,社區遊憩設施,鋼筋混凝土造,93年3月26日,三層,
RPTNMLSKKHOFFCQ27CA,24,89.03,集合住宅,鋼筋混凝土造,83年8月10日,七層,四層 陽台
RPTNMLSKKHOFFCQ27CA,24,9.87,共有部分,鋼筋混凝土造,83年8月10日,七層,
RPTNMLSKKHOFFCQ27CA,24,9.89,共有部分,鋼筋混凝土造,83年8月10日,七層,
RPQNMLQKKHOFFDQ86CA,4,268.56,住宅、停車空間、樓梯間,鋼筋混凝土造,103年9月29日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPPNMLQKKHOFFBQ56CA,35,113.52,住家用,鋼筋混凝土加強磚造,72年12月27日,二層,一層 二層 騎樓
RPTNMLSKKHOFFBQ27DA,64,9.00,住商用,磚石造、雜木造,44年7月15日,二層,一層 二層
RPRNMLQKKHOFFCQ86CA,37,115.13,住家用,鋼筋混凝土加強磚造,70年12月14日,二層,一層 二層 電梯樓梯間
RPPNMLOLKHOFFCQ56CA,26,155.81,停車空間兼臥室住宅,鋼筋混凝土造,81年12月23日,三層,一層 二層 三層 陽台 電梯樓梯間
RPSNMLPLKHOFFEQ37EA,26,37.23,住家用,鋼筋混凝土造,82年4月1日,十八層,十三層 陽台
RPRNMLLLKHOFFCQ66EA,58,59.40,騎樓、住宅,木石磚造（雜木）,49年8月15日,二層,一層 二層 騎樓
RPQNMLPKKHOFFBQ56CA,12,225.90,住家用,鋼筋混凝土造,96年3月26日,四層,一層 二層 三層 四層 陽台 雨遮
RPSNMLKLKHOFFBQ98CA,37,115.88,住商用,鋼筋混凝土加強磚造,70年12月28日,二層,一層 二層 電梯樓梯間
RPOOMLKLKHOFFBQ68CA,9,269.24,住商用,鋼筋混凝土造,98年11月11日,四層,一層 二層 三層 四層 見其他登記事項
SPOOMLKLKHOFFBQ78CA,9,1.06,管理員室,鋼筋混凝土造,98年11月11日,二層,
RPTNMLTJLHOFFBQ27CA,9,241.20,集合住宅,鋼筋混凝土造,98年9月15日,四層,一層 二層 三層 四層 見其他登記事項
RPVNMLOKKHOFFDQ17CA,14,19.73,見其他登記事項,鋼筋混凝土造,94年2月4日,五層,二層
RPVNMLOKKHOFFDQ17CA,14,7.22,見其他登記事項,鋼筋混凝土造,94年2月4日,五層,
RPRNMLTJLHOFFBQ07CA,13,178.77,店舖、住宅、梯間,鋼筋混凝土造,94年7月7日,三層,一層 二層 三層 陽台 見其他登記事項
SPVNMLOKKHOFFDQ27CA,14,19.73,見其他登記事項,鋼筋混凝土造,94年2月4日,五層,二層
SPVNMLOKKHOFFDQ27CA,14,7.22,見其他登記事項,鋼筋混凝土造,94年2月4日,五層,
RPWNMLMKLHOFFDQ17CA,23,148.84,住家用,鋼筋混凝土加強磚造,84年9月12日,三層,一層 二層 三層 陽台 平台 電梯樓梯間
RPSOMLOJLHOFFDQ96CA,,184.58,店鋪、住宅,鋼筋混凝土造,107年8月14日,三層,一層 二層 三層 陽台 見其他登記事項
RPPNMLKLKHOFFCQ98EA,27,177.09,住家用,鋼筋混凝土加強磚造,80年9月2日,三層,一層 二層 三層 電梯樓梯間
RPPNMLTJLHOFFDQ07CA,20,124.21,住家用,鋼筋混凝土造,87年11月24日,三層,一層 二層 三層 陽台 平台
RPQNMLOLKHOFFBQ56CA,22,89.51,住家用,鋼筋混凝土造,85年11月23日,七層,七層 陽台
RPQNMLOLKHOFFBQ56CA,22,23.44,防空避難室、停車場,鋼筋混凝土造,85年11月23日,七層,
RPQNMLOLKHOFFBQ56CA,22,12.15,樓梯間、電梯間,鋼筋混凝土造,85年11月23日,七層,
RPPOMLSJLHOFFDQ07CA,39,93.88,住商用,鋼筋混凝土加強磚造,68年9月29日,二層,一層 二層 電梯樓梯間
RPSNMLTKKHOFFDQ37CA,25,168.36,住家用,鋼筋混凝土造,83年6月20日,四層,一層 二層 三層 四層 地下層 見其他登記事項
RPSNMLTKKHOFFDQ37CA,25,23.07,共有部分,鋼筋混凝土造,83年6月20日,,
RPPNMLOLKHOFFBQ09CA,12,17.36,住家用,鋼筋混凝土造,95年8月28日,八層,六層 陽台
RPPNMLOLKHOFFBQ09CA,12,6.82,共有部分,鋼筋混凝土造,95年8月28日,,
RPPNMLOLKHOFFBQ09CA,12,4.12,共有部分,鋼筋混凝土造,95年8月28日,,
RPSNMLQLKHOFFDQ17CA,35,117.02,住家用,鋼筋混凝土加強磚造,73年1月6日,二層,一層 二層 騎樓 電梯樓梯間
RPQNMLPLKHOFFDQ86CA,3,165.34,住家用,鋼筋混凝土,104年9月24日,三層,一層 二層 三層 陽台 見其他登記事項
RPPNMLQLKHOFFCQ76CA,37,144.85,住家用,鋼筋混凝土加強磚造,70年12月3日,三層,一層 二層 三層 電梯樓梯間
RPPNMLLLKHOFFEQ66EA,38,44.53,住商用,鋼筋混凝土加強磚造,70年6月27日,二層,一層 二層 騎樓 電梯樓梯間
