編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLKLKHOFFEQ56CA,內甕段,678.00,都市：其他:行水區,1,1,全筆移轉,05620000
RPRNMLKLKHOFFEQ56CA,內甕段,206.00,都市：其他:行水區,1,1,全筆移轉,05640001
RPRNMLKLKHOFFEQ56CA,內甕段,1530.00,都市：其他:保護區,1,1,全筆移轉,05640007
RPRNMLPKKHOFFBQ66CA,下揖子寮段,509.65,非都市：一般農業區 ; 非都市編定：農牧用地,202,50,持分移轉,02260006
RPRNMLPKKHOFFBQ66CA,下揖子寮段,274.22,非都市：一般農業區 ; 非都市編定：農牧用地,64,9,持分移轉,02270001
RPRNMLPKKHOFFBQ66CA,下揖子寮段,663.83,非都市：一般農業區 ; 非都市編定：農牧用地,87,23,持分移轉,02270007
RPQNMLPKKHOFFEQ07EA,番路段,231.57,非都市：山坡地保育區 ; 非都市編定：林業用地,1000,353,持分移轉,00020096
RPRNMLSKKHOFFCQ07CA,新港段福德小段,32.83,都市：住,6,1,持分移轉,00040038
RPQNMLQKKHOFFEQ96CA,南下坑段,149.91,都市：住,1,1,全筆移轉,07930000
RPQNMLQKKHOFFEQ96CA,南下坑段,93.33,都市：住,1,1,全筆移轉,07940000
RPQNMLQKKHOFFEQ96CA,南下坑段,47.03,都市：住,1,1,全筆移轉,07950000
RPQNMLQKKHOFFEQ96CA,南下坑段,61.29,都市：住,1,1,全筆移轉,07960000
RPQNMLQKKHOFFEQ96CA,南下坑段,89.87,都市：住,1,1,全筆移轉,07970000
RPQNMLQKKHOFFEQ96CA,南下坑段,89.97,都市：住,1,1,全筆移轉,07980000
RPQNMLQKKHOFFEQ96CA,南下坑段,74.10,都市：住,1,1,全筆移轉,07990000
RPQNMLQKKHOFFEQ96CA,南下坑段,117.67,都市：住,1,1,全筆移轉,08000000
RPQNMLQKKHOFFEQ96CA,南下坑段,60.00,都市：住,1,1,全筆移轉,08010000
RPQNMLQKKHOFFEQ96CA,南下坑段,90.12,都市：住,1,1,全筆移轉,08020000
