編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLQJLHOFFEQ37CC,26,144.91,住家用,鋼筋混凝土造,82年4月1日,十八層,
RPSNMLLKKHOFFBQ56CC,22,102.27,住家用,鋼筋混凝土造,85年8月15日,十四層,
RPVNMLSLLHOFFBQ77CC,25,217.57,住商用,鋼筋混凝土造,83年5月23日,四層,
RPPNMLNJMHOFFBQ56CC,25,89.22,住家用,鋼筋混凝土造,82年12月7日,五層,
RPPNMLQLKHOFFBQ86CC,11,200.62,停車空間、店舖、集合住宅,鋼筋混凝土造,97年1月31日,四層,
RPRNMLSLLHOFFBQ37CC,1,180.18,住宅、樓梯間,鋼筋混凝土造,107年3月7日,三層,
RPXNMLNJNHOFFBQ47CC,13,54.79,商業用,鋼筋混凝土造,95年8月28日,八層,
RPXNMLNJNHOFFBQ47CC,13,36.33,共有部分,鋼筋混凝土造,95年8月28日,,
RPPNMLKKMHOFFBQ98CC,16,176.07,住商用,鋼筋混凝土造,92年9月22日,四層,
RPQNMLLKLHOFFBQ09CC,12,348.00,停車空間、店舖、集合住宅,鋼筋混凝土造,96年6月28日,四層,
RPTNMLNJNHOFFDQ27CC,7,201.51,集合住宅,鋼筋混凝土造,101年8月29日,四層,
RPQNMLKKNHOFFDQ76CC,2,175.72,集合住宅,鋼筋混凝土造,106年4月21日,十六層,
