編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLQJLHOFFEQ37CC,內甕段,16.38,都市：住,,,,00970009
RPSNMLQJLHOFFEQ37CC,內甕段,.78,都市：住,,,,00970043
RPSNMLLKKHOFFBQ56CC,鎮安段,26.48,都市：商,,,,17980001
RPSNMLNLMHOFFEQ37CC,梅北段,10785.00,都市：工,,,,28090000
RPSNMLNLMHOFFEQ37CC,梅北段,458.00,都市：工,,,,28090008
RPSNMLNLMHOFFEQ37CC,梅北段,390.00,都市：工,,,,28090010
RPSNMLNLMHOFFEQ37CC,梅北段,552.00,都市：工,,,,28090011
RPSNMLNLMHOFFEQ37CC,梅北段,1411.00,都市：工,,,,28090012
RPSNMLNLMHOFFEQ37CC,梅北段,5334.00,都市：工,,,,28090014
RPSNMLNLMHOFFEQ37CC,梅北段,1550.00,都市：工,,,,28090016
RPSNMLNLMHOFFEQ37CC,梅北段,2202.00,都市：工,,,,28090017
RPVNMLSLLHOFFBQ77CC,德安段,120.00,都市：住,,,,06520000
RPPNMLNJMHOFFBQ56CC,安福段,30.44,都市：住,,,,00370000
RPPNMLQLKHOFFBQ86CC,嘉朴段,91.60,都市：住,,,,02380004
RPRNMLSLLHOFFBQ37CC,新寮段,94.16,都市：住,,,,04360010
RPXNMLNJNHOFFBQ47CC,嘉朴段,21.82,都市：住,,,,02620000
RPPNMLKKMHOFFBQ98CC,嘉朴段,85.00,都市：住,,,,01520010
RPQNMLLKLHOFFBQ09CC,嘉朴段,143.01,都市：住,,,,02180007
RPTNMLNJNHOFFDQ27CC,嘉保段,152.28,都市：住,,,,02130043
RPQNMLKKNHOFFDQ76CC,太頂珠段,40.99,都市：住,,,,00240004
