鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
屏東市,房地(土地+建物),屏東縣屏東市廣興５５之２號,180.94,,鄉村區,乙種建築用地,1071224,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0811124,237.73,5,2,3,有,無,6800000,28604,,0.0,0,,RPSNMLMKKHOFFAT66CA,237.73,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東市莊敬街二段１１３巷２８之１號三樓,19.68,住,,,1071227,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0860113,116.4,3,2,2,有,有,3100000,26632,,0.0,0,,RPVNMLMKKHOFFAT96CA,79.59,0.0,5.16,,
屏東市,房地(土地+建物),屏東縣屏東市香揚巷４之３６號,70.0,住,,,1080114,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0700803,85.08,4,2,3,有,無,5500000,64645,,0.0,0,,RPROMLOKKHOFFAT86CA,85.08,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東市崇蘭里崇朝路106號,90.0,住,,,1080121,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060811,210.19,4,2,4,有,無,13990000,66559,,0.0,0,,RPVPMLSKKHOFFAT77CA,190.48,0.0,19.71,,
麟洛鄉,土地,農場段723-13地號,943.52,,一般農業區,農牧用地,1080122,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,2226,,0.0,0,受債權債務影響或債務抵償之交易。；,RPVNMLMLKHOFFAT07CA,0.0,0.0,0.0,,
潮州鎮,房地(土地+建物),屏東縣潮州鎮永春里長榮街33之4號,62.22,住,,,1080113,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0650511,83.16,3,1,1,有,無,1760000,21164,,0.0,0,,RPRNMLMKKHOFFCT76CA,83.16,0.0,0.0,,
潮州鎮,房地(土地+建物),屏東縣潮州鎮杭州街１７５號四樓之五,21.21,住,,,1071218,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850606,89.31,2,1,1,有,有,1630000,18251,,0.0,0,,RPSNMLNKKHOFFCT96CA,65.3,0.0,6.72,,
潮州鎮,房地(土地+建物),屏東縣潮州鎮光明路１５３巷１３號,88.83,,鄉村區,乙種建築用地,1080119,土地4建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1070625,162.87,5,2,3,有,無,6600000,40523,,0.0,0,,RPWNMLNKKHOFFCT37CA,147.64,0.0,15.23,,
內埔鄉,土地,豐田段42地號,325.36,住,,,1080103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,845936,2600,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPXNMLOKKHOFFCT57CA,0.0,0.0,0.0,,
潮州鎮,土地,八爺段427-1地號,9.24,,鄉村區,乙種建築用地,1080116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,84000,9091,,0.0,0,,RPUNMLNKKHOFFCT17CA,0.0,0.0,0.0,,
東港鎮,土地,新忠段686地號,140.31,其他,,,1080120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,980000,6985,,0.0,0,,RPWNMLMKKHOFFDT37CA,0.0,0.0,0.0,,
琉球鄉,土地,花矸段841地號,992.0,其他,,,1080124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,7560,,0.0,0,,RPXNMLMKKHOFFDT47CA,0.0,0.0,0.0,,
