編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLOKKHOFFAT86CA,瑞光段,16.00,都市：住,2,1,持分移轉,07900003
RPROMLOKKHOFFAT86CA,瑞光段,16.00,都市：住,2,1,持分移轉,07900003
RPROMLOKKHOFFAT86CA,瑞光段,19.00,都市：住,2,1,持分移轉,07910005
RPROMLOKKHOFFAT86CA,瑞光段,19.00,都市：住,2,1,持分移轉,07910005
RPSNMLMKKHOFFAT66CA,廣興段,180.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00820000
RPRNMLMKKHOFFCT76CA,中洲段,45.17,都市：住,1,1,全筆移轉,09420000
RPRNMLMKKHOFFCT76CA,中洲段,17.05,都市：住,1,1,全筆移轉,09430000
RPUNMLNKKHOFFCT17CA,八爺段,9.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04270001
RPSNMLNKKHOFFCT96CA,五魁段,21.21,都市：住,10000,121,持分移轉,11650000
RPXNMLOKKHOFFCT57CA,豐田段,325.36,都市：住,1,1,全筆移轉,00420000
RPVNMLMKKHOFFAT96CA,溝美段,19.68,都市：住,10000,61,持分移轉,10360000
RPVPMLSKKHOFFAT77CA,勝興段,90.00,都市：住,1,1,全筆移轉,05160020
RPWNMLMKKHOFFDT37CA,新忠段,140.31,都市：其他:公園用地,1,1,全筆移轉,06860000
RPWNMLNKKHOFFCT37CA,大同段,18.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,49,1,持分移轉,11250029
RPWNMLNKKHOFFCT37CA,大同段,69.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11250055
RPWNMLNKKHOFFCT37CA,大同段,.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,63,1,持分移轉,11250067
RPWNMLNKKHOFFCT37CA,大同段,.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,63,1,持分移轉,11250068
RPSNMLOJLHOFFDT17CA,新利段,7.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,26,1,持分移轉,03410002
RPXNMLMKKHOFFDT47CA,花矸段,992.00,都市：其他:綜合遊憩區,1,1,全筆移轉,08410000
RPSNMLOJLHOFFDT17CA,新利段,10.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,401,持分移轉,03410005
RPSNMLOJLHOFFDT17CA,新利段,7.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,401,持分移轉,03410006
RPSNMLOJLHOFFDT17CA,新利段,11.91,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,401,持分移轉,03410011
RPSNMLOJLHOFFDT17CA,新利段,6.70,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,401,持分移轉,03410012
RPSNMLOJLHOFFDT17CA,新利段,.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,401,持分移轉,03410023
RPRNMLSKKHOFFDT47CA,新和段,139.13,都市：住,1,1,全筆移轉,05750000
RPSNMLNKKHOFFET17CA,鼻子頭段,408.00,非都市：國家公園區 ; 非都市編定：,1,1,全筆移轉,00980035
RPPPMLKLKHOFFFT96CA,草埔段,42.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,6,1,持分移轉,11180002
RPPPMLKLKHOFFFT96CA,草埔段,9.33,非都市：山坡地保育區 ; 非都市編定：農牧用地,6,1,持分移轉,07320003
RPOPMLKLKHOFFFT86CA,草埔段,42.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,6,1,持分移轉,11180002
RPOPMLKLKHOFFFT86CA,草埔段,9.33,非都市：山坡地保育區 ; 非都市編定：農牧用地,6,1,持分移轉,07320003
RPRNMLSKKHOFFAT27DA,潭頭段,177.11,都市：住,15,2,持分移轉,04030000
RPRNMLSKKHOFFAT27DA,潭頭段,30.22,都市：住,15,2,持分移轉,04040000
RPRNMLSKKHOFFAT27DA,潭頭段,34.76,都市：其他:道路用地,15,2,持分移轉,04050000
RPRNMLSKKHOFFAT27DA,潭頭段,82.59,都市：住,15,2,持分移轉,04060000
RPQNMLNKKHOFFBT76DA,過江段,144.00,都市：住,1,1,全筆移轉,05230000
RPQNMLOKKHOFFFT37EA,佳興段,2349.47,都市：農,1,1,全筆移轉,09810000
RPRNMLOKKHOFFFT27CA,沿海段,30.24,都市：其他:計劃道路,1,1,全筆移轉,06270000
RPRNMLOKKHOFFFT27CA,沿海段,17.93,都市：其他:計劃道路,1,1,全筆移轉,06290000
RPSNMLPKKHOFFFT47CA,大響營段,75.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03240051
RPRNMLSKKHOFFFT67CA,佳興段,350.45,都市：住,1,1,全筆移轉,00480000
RPRNMLNKKHOFFET07CA,城南段,10.45,都市：其他:道路用地,1,1,全筆移轉,11500000
RPUNMLMKKHOFFDT17CA,新忠段,86.27,都市：住,1,1,全筆移轉,09070000
RPUNMLMKKHOFFDT17CA,新忠段,53.80,都市：住,1,1,全筆移轉,09070001
RPOOMLMKKHOFFDT66CA,新忠段,9.76,都市：住,1,1,全筆移轉,09200000
RPRNMLNKKHOFFDT96CA,龍帝段,7.54,都市：其他:道路用地,30157,754,持分移轉,07020000
RPRNMLNKKHOFFDT96CA,龍帝段,2.14,都市：住,85530,2138,持分移轉,07030000
RPRNMLNKKHOFFDT96CA,龍帝段,3.08,都市：其他:道路用地,6159,308,持分移轉,07050000
RPRNMLNKKHOFFDT96CA,龍帝段,3.79,都市：其他:道路用地,15188,379,持分移轉,07050002
