鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
屏東市,建物,屏東縣屏東市古松西巷4弄35之1號4樓之3,30.5,住,,,1080218,土地0建物1車位0,四層,6,其他,住家用,鋼筋混凝土造,0830729,80.78,3,0,0,無,有,有,6500,80,,0.0,0,,RPQNMLPLKHOFFAT17DC
里港鄉,房地(土地+建物),屏東縣里港鄉永安路13號,153.0,商,,,1080319,土地1建物1車位0,全,1,透天厝,住商用,磚造,,91.36,4,3,2,有,無,有,10000,109,,0.0,0,,RPRNMLKLLHOFFBT86CC
屏東市,房地(土地+建物),屏東縣屏東市復興南路一段268號,117.0,,鄉村區,乙種建築用地,1080322,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,磚造,,95.37,3,1,1,有,無,無,12000,126,,0.0,0,外牆作為廣告使用。；,RPWNMLPLLHOFFAT77CC
屏東市,房地(土地+建物),屏東縣屏東市公園東路80號,156.0,其他,,,1080325,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,鋼造,0850604,146.6,4,2,3,有,無,無,30000,205,,0.0,0,,RPQNMLRLLHOFFAT47DC
屏東市,土地,明正段1668地號,180.0,其他,,,1080320,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,10000,56,,0.0,0,,RPRNMLRLLHOFFAT57DC
屏東市,房地(土地+建物),屏東縣屏東市機場北路7822號8樓,12.66,住,,,1080326,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0881204,87.23,2,1,1,有,有,有,8500,97,,0.0,0,,RPUPMLKKMHOFFAT27CC
屏東市,房地(土地+建物)+車位,屏東縣屏東市民權路93號,61.1,商,,,1080403,土地2建物2車位1,見其他登記事項,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1040617,384.91999999999996,0,0,0,無,有,無,80000,208,坡道平面,23.99,0,,RPRNMLLKMHOFFAT86CC
屏東市,土地,檳榔腳段一小段510-11地號,55.0,住,,,1080320,土地2建物0車位0,,,其他,,,,0.0,1,0,0,有,無,有,15000,273,,0.0,0,含增建或未登記建物。；一樓鐵皮屋,RPSOMLPKMHOFFAT57DC
屏東市,房地(土地+建物),屏東縣屏東市和平路540號,80.0,住,,,1080415,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0750630,152.39,4,2,3,有,無,無,16000,105,,0.0,0,,RPUOMLPKMHOFFAT77DC
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮太平路232號六樓之5,29.31,住,,,1080414,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830812,105.39,3,2,2,有,無,無,10000,95,坡道平面,0.0,0,,RPRNMLPLMHOFFCT57CC
屏東市,房地(土地+建物),屏東縣屏東市屏東縣屏東市潭墘里機場北路592號1樓,22.15,住,,,1080413,土地1建物1車位0,一層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0881204,153.62,0,0,0,無,有,無,12000,78,,0.0,0,,RPQNMLRLMHOFFAT47CC
屏東市,房地(土地+建物),屏東縣屏東市屏東縣屏東市潭墘里機場北路592號1樓,22.15,住,,,1080413,土地1建物1車位0,一層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0881204,153.62,0,0,0,無,有,無,12000,78,,0.0,0,,RPRNMLRLMHOFFAT57CC
屏東市,房地(土地+建物),屏東縣屏東市自由路471號1樓,341.0,住,,,1080429,土地1建物1車位0,一層,2,店面(店鋪),住商用,見其他登記事項,1020311,148.8,0,0,0,無,無,無,70000,470,,0.0,0,,RPUOMLTLMHOFFAT28DC
