編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLPLKHOFFAT17DC,勝興段,30.50,都市：住,,,,07490000
RPRNMLKLLHOFFBT86CC,里平段,153.00,都市：商,,,,02010000
RPQNMLRLLHOFFAT47DC,水源段二小段,156.00,都市：其他:第一種住宅區,,,,15680000
RPWNMLPLLHOFFAT77CC,新興段,117.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00970000
RPUOMLPKMHOFFAT77DC,檳榔腳段二小段,80.00,都市：住,,,,13990006
RPUPMLKKMHOFFAT27CC,勝興段,12.66,都市：住,,,,00580000
RPRNMLRLLHOFFAT57DC,明正段,79.00,都市：住,,,,16710000
RPRNMLRLLHOFFAT57DC,明正段,101.00,都市：其他:道路用路,,,,16680000
RPSOMLPKMHOFFAT57DC,檳榔腳段一小段,53.00,都市：住,,,,05000000
RPSOMLPKMHOFFAT57DC,檳榔腳段一小段,2.00,都市：住,,,,05100011
RPRNMLPLMHOFFCT57CC,五魁段,29.31,都市：住,,,,05340000
RPUOMLTLMHOFFAT28DC,街頭段四小段,341.00,都市：住,,,,01890000
RPQNMLRLMHOFFAT47CC,勝興段,22.15,都市：住,,,,00580000
RPRNMLLKMHOFFAT86CC,公園段三小段,20.34,都市：商,,,,00030000
RPRNMLLKMHOFFAT86CC,公園段三小段,40.76,都市：商,,,,00030000
RPRNMLRLMHOFFAT57CC,勝興段,22.15,都市：住,,,,00580000
