鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慶豐十四街１３７巷５號,109.87,,特定農業區,甲種建築用地,1080103,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040522,230.42,5,2,5,有,無,12000000,52079,,0.0,0,,RPSNMLMKKHOFFAU76CA,216.05,0.0,14.37,,
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛四街５３號二樓,22.83,住,,,1071228,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830831,141.34,3,2,2,有,有,4830000,34173,,0.0,0,,RPQOMLSKKHOFFAU27CA,78.85,0.36,17.12,,
玉里鎮,土地,三義段一小段168地號,10015.0,,一般農業區,農牧用地,1080111,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,999,,0.0,0,,RPPNMLOKKHOFFCU86CA,0.0,0.0,0.0,,
玉里鎮,土地,三義段137地號,4918.0,,一般農業區,農牧用地,1080111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3434400,698,,0.0,0,,RPUNMLTKKHOFFCU87CA,0.0,0.0,0.0,,
玉里鎮,土地,三義段135地號,14636.0,,一般農業區,農牧用地,1080111,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10220800,698,,0.0,0,,RPVNMLTKKHOFFCU97CA,0.0,0.0,0.0,,
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛八街121號四樓之七,7.54,住,,,1080116,土地1建物1車位0,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821129,29.740000000000002,1,1,1,有,無,1580000,53127,,0.0,0,,RPWNMLMKKHOFFAU27DA,20.0,0.0,4.35,,
萬榮鄉,土地,支亞干段1121地號,1269.68,,一般農業區,農牧用地,1080122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,158,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLMKKHOFFBU66DA,0.0,0.0,0.0,,
吉安鄉,土地,太昌段91-1地號,26.2,農,,,1080122,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,15267,,0.0,0,,RPQNMLNKLHOFFAU96EA,0.0,0.0,0.0,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉建國路二段167巷18號3F,44.12,住,,,1080122,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071123,111.94,3,2,2,有,有,9223968,82401,,0.0,0,,RPOPMLMKLHOFFAU76DA,83.75,0.0,8.83,,
玉里鎮,土地,禹西段311-1地號,5762.6,,一般農業區,農牧用地,1080130,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,1562,,0.0,0,本件買賣含地上未辦保存登記建物,RPRNMLTKKHOFFCU57CA,0.0,0.0,0.0,,
瑞穗鄉,土地,瑞祥段56-4地號,4135.32,,一般農業區,農牧用地,1071120,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3114054,753,,0.0,0,含增建或未登記建物。；,RPTNMLTKKHOFFCU77CA,0.0,0.0,0.0,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里九街28號五樓之二,34.31,住,,,1071125,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840422,133.32999999999998,3,2,2,有,無,4900000,36751,,0.0,0,,RPPNMLTKKHOFFAU17CA,92.74,0.0,6.18,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南海五街８１巷２３號,141.0,,特定農業區,甲種建築用地,1080102,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0710228,95.72,4,1,2,有,無,8600000,89845,,0.0,0,,RPQNMLNKKHOFFAU66CA,95.72,0.0,0.0,,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路３之１４號,52.38,住,,,1080122,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730125,107.8,3,2,2,有,無,5500000,51020,,0.0,0,,RPVOMLTKKHOFFAU87CA,95.2,0.0,0.0,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中華路二段９３號十樓之一,9.38,商,,,1080113,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831028,95.06,3,2,2,有,有,4600000,48390,,0.0,0,,RPXOMLPLKHOFFAU77CA,68.02,0.0,5.88,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中山路一段２２２號十三樓之六,15.78,住,,,1080123,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850216,150.16,2,2,2,有,有,6700000,44619,,0.0,0,,RPPNMLMKLHOFFAU56CA,95.18,0.0,12.47,,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美十三街５５號四樓之一號,41.94,住,,,1080119,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810713,154.2,3,2,3,有,有,8080000,52399,,0.0,0,,RPQNMLMKLHOFFAU66CA,120.86,0.0,15.12,,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街７３號六樓之一,24.61,商,,,1071228,土地2建物1車位1,六層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070206,181.24,3,2,2,有,有,12700000,70073,坡道平面,0.0,1500000,,RPUNMLNLKHOFFAU17CA,99.44,0.0,9.88,,
花蓮市,房地(土地+建物),花蓮縣花蓮市德安二街６８巷５２號十樓,13.92,住,,,1080122,土地1建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841104,72.65,2,2,2,有,有,3400000,46800,,0.0,0,,RPSOMLNLKHOFFAU07CA,49.2,0.0,2.99,,
花蓮市,房地(土地+建物),花蓮縣花蓮市林森路２５７巷６號,68.0,住,,,1080110,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0601101,97.66,3,2,3,有,無,5600000,57342,,0.0,0,,RPTNMLNKKHOFFAU96CA,97.66,0.0,0.0,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉知卡宣大道一段３８５號,507.15,,一般農業區,農牧用地,1071231,土地1建物1車位0,一層，二層，屋頂突出物，見其他登記事項,二層,農舍,農舍,鋼筋混凝土造,0820222,228.27,5,2,2,有,無,11900000,,,0.0,0,,RPRNMLOKKHOFFAU86CA,209.17,0.0,19.1,,
花蓮市,房地(土地+建物),花蓮縣花蓮市進豐街２３號,73.0,住,,,1071231,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0470101,43.68,2,2,1,有,無,3750000,85852,,0.0,0,,RPSNMLOKKHOFFAU96CA,43.68,0.0,0.0,,
壽豐鄉,土地,大坪段284地號,3754.7,,一般農業區,農牧用地,1080123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5848855,1558,,0.0,0,,RPUQMLOKKHOFFAU47CA,0.0,0.0,0.0,,
花蓮市,房地(土地+建物),花蓮縣花蓮市南京街２０３號十二樓之二,13.64,商,,,1071216,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070427,81.33,1,2,2,有,有,7000000,86069,,0.0,0,,RPQNMLPKKHOFFAU86CA,48.23,0.0,5.16,,
花蓮市,房地(土地+建物),花蓮縣花蓮市長安街２６號十六樓之一,46.2,住,,,1080104,土地1建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851029,349.35,5,3,3,有,有,11000000,31487,,0.0,0,,RPVNMLPKKHOFFAU37CA,193.72,2.9,23.99,,
壽豐鄉,土地,精鐘段1218-22地號,4339.22,,一般農業區,農牧用地,1080119,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,922,,0.0,0,,RPWNMLPKKHOFFAU47CA,0.0,0.0,0.0,,
壽豐鄉,土地,豐裡段1426-2地號,2513.0,,一般農業區,農牧用地,1080108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5700000,2268,,0.0,0,,RPSNMLPKKHOFFAU07CA,0.0,0.0,0.0,,
花蓮市,房地(土地+建物),花蓮縣花蓮市建國路二段６４８號,121.0,住,,,1071230,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050711,278.32,5,1,4,有,無,20880000,75022,,0.0,0,,RPSNMLSKKHOFFAU37CA,244.85,0.0,33.47,,
壽豐鄉,土地,豐裡段1017地號,6038.58,,一般農業區,農牧用地,1080115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15252694,2526,,0.0,0,,RPTNMLSKKHOFFAU47CA,0.0,0.0,0.0,,
鳳林鎮,土地,中原段263地號,6883.45,,特定專用區,農牧用地,1080117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12500000,1816,,0.0,0,,RPRNMLLLKHOFFBU76CA,0.0,0.0,0.0,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉建國路二段167巷18號5F,44.12,住,,,1080122,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071123,111.94,3,2,2,有,有,9437712,84310,,0.0,0,,RPRNMLNKLHOFFAU07EA,83.75,0.0,8.83,,
吉安鄉,土地,太昌段91-1地號,26.2,農,,,1080122,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,15267,,0.0,0,,RPSNMLNKLHOFFAU17EA,0.0,0.0,0.0,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉昌隆三街６６號七樓之一,15.27,住,,,1080109,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840222,98.86,2,2,1,有,有,3700000,37427,,0.0,0,,RPQNMLPKKHOFFAU07EA,58.1,0.0,11.37,,
富里鄉,土地,中平段520地號,336.19,農,,,1080129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1074000,3195,,0.0,0,花蓮縣政府代為標售地籍清理土地。,RPQNMLKLKHOFFCU86EA,0.0,0.0,0.0,,
富里鄉,土地,中平段521地號,48.48,農,,,1080129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,185000,3816,,0.0,0,花蓮縣政府代為標售地籍清理土地。,SPQNMLKLKHOFFCU96EA,0.0,0.0,0.0,,
富里鄉,土地,中平段522地號,164.69,農,,,1080129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,631000,3831,,0.0,0,花蓮縣政府代為標售地籍清理土地。,TPQNMLKLKHOFFCU07EA,0.0,0.0,0.0,,
瑞穗鄉,房地(土地+建物),花蓮縣瑞穗鄉成功北路３０號,103.0,其他,,,1080108,土地2建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土造,0590301,57.79,2,1,1,有,無,300000,5191,,0.0,0,受債權債務影響或債務抵償之交易。；,RPPNMLMKLHOFFCU96EA,57.79,0.0,0.0,,
瑞穗鄉,土地,屋拉力段1367地號,2400.66,,山坡地保育區,農牧用地,1080130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,83,,0.0,0,借名登記-農場共同經營權利人退出經營.土地返還權利人.,RPSNMLOKKHOFFCU37EA,0.0,0.0,0.0,,
玉里鎮,土地,泰林段543地號,4728.8,,山坡地保育區,農牧用地,1080121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3186968,674,,0.0,0,,RPQNMLTKKHOFFCU47CA,0.0,0.0,0.0,,
玉里鎮,土地,玉城段872-16地號,390.0,住,,,1071228,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3540000,9077,,0.0,0,買方負擔增值稅,RPSNMLRLKHOFFCU57CA,0.0,0.0,0.0,,
