編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLMKKHOFFAU27DA,25,24.35,住家用,鋼筋混凝土造,82年11月29日,五層,四層 陽台
RPWNMLMKKHOFFAU27DA,25,5.39,共有部份,鋼筋混凝土造,82年11月29日,五層,
RPSNMLMKKHOFFAU76CA,4,230.42,住家用,鋼筋混凝土造,104年5月22日,四層,一層 二層 三層 四層 陽台
RPQOMLSKKHOFFAU27CA,24,96.33,住家用,鋼筋混凝土造,83年8月31日,七層,二層 陽台 花台
RPQOMLSKKHOFFAU27CA,24,45.01,共有部份,鋼筋混凝土造,83年8月31日,七層,
RPPNMLTKKHOFFAU17CA,24,98.92,住家用,鋼筋混凝土造,84年4月22日,六層,五層 陽台
RPPNMLTKKHOFFAU17CA,24,34.41,共有部份,鋼筋混凝土造,84年4月22日,六層,
RPVOMLTKKHOFFAU87CA,35,95.20,住家用,鋼筋混凝土造,73年1月25日,四層,三層
RPVOMLTKKHOFFAU87CA,35,12.60,共有部份,鋼筋混凝土造,73年1月25日,四層,
RPQNMLNKKHOFFAU66CA,37,95.72,住家用,鋼筋混凝土加強磚造,71年2月28日,二層,一層 二層
RPTNMLNKKHOFFAU96CA,47,97.66,住家用,鋼筋混凝土加強磚造,60年11月1日,二層,一層 二層
RPSOMLNLKHOFFAU07CA,23,52.19,住家用,鋼筋混凝土造,84年11月4日,十層,十層 陽台
RPSOMLNLKHOFFAU07CA,23,8.21,共有部份,鋼筋混凝土造,84年11月4日,十層,
RPSOMLNLKHOFFAU07CA,23,12.25,共有部份,鋼筋混凝土造,84年11月4日,十層,
RPRNMLOKKHOFFAU86CA,26,228.27,農舍,鋼筋混凝土造,82年2月22日,二層,一層 二層 陽台 屋頂突出物 見其他登記事項
RPSNMLOKKHOFFAU96CA,61,43.68,住家用,雜木,47年1月1日,一層,一層
RPQNMLPKKHOFFAU86CA,1,53.39,集合住宅,鋼筋混凝土造,107年4月27日,十二層,十二層 陽台
RPQNMLPKKHOFFAU86CA,1,12.17,本共有部份之項目有防空避難室兼停車空間、機電設備、騎樓、Ｆ梯安全梯、一樓梯廳、一樓門廳、管委會使用空間、車道、Ｃ棟垃圾處理區等９項。,鋼筋混凝土造,107年4月27日,十二層,
RPQNMLPKKHOFFAU86CA,1,15.77,共有部份,鋼筋混凝土造,107年4月27日,十二層,
RPVNMLPKKHOFFAU37CA,22,220.61,住家用,鋼筋混凝土造,85年10月29日,十六層,十六層 陽台 花台
RPVNMLPKKHOFFAU37CA,22,39.03,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPVNMLPKKHOFFAU37CA,22,28.93,停車空間,鋼筋混凝土造,85年10月29日,十六層,
RPVNMLPKKHOFFAU37CA,22,60.78,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPSNMLSKKHOFFAU37CA,2,278.32,住家用,鋼筋混凝土造,105年7月11日,四層,一層 二層 三層 四層 陽台 騎樓
