編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOKKHOFFCU86CA,三義段一小段,5032.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01670000
RPPNMLOKKHOFFCU86CA,三義段一小段,4983.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01680000
RPUNMLTKKHOFFCU87CA,三義段,4918.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01370000
RPVNMLTKKHOFFCU97CA,三義段,4674.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01340000
RPVNMLTKKHOFFCU97CA,三義段,4936.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01350000
RPVNMLTKKHOFFCU97CA,三義段,5026.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01360000
RPWNMLMKKHOFFAU27DA,富國段,7.54,都市：住,10000,137,持分移轉,00500000
RPSNMLMKKHOFFAU76CA,福吉段,109.87,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02100002
RPQOMLSKKHOFFAU27CA,富國段,22.83,都市：住,10000,383,持分移轉,00720000
RPPNMLMKKHOFFBU66DA,支亞干段,1269.68,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11210000
RPRNMLTKKHOFFCU57CA,禹西段,2522.09,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03090000
RPRNMLTKKHOFFCU57CA,禹西段,196.27,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03100000
RPRNMLTKKHOFFCU57CA,禹西段,3044.24,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03110001
RPPNMLTKKHOFFAU17CA,仁廉段,34.31,都市：住,70300,3431,持分移轉,08860000
RPVOMLTKKHOFFAU87CA,民勤段,44.00,都市：住,8,1,持分移轉,13430006
RPVOMLTKKHOFFAU87CA,民勤段,8.38,都市：住,8,1,持分移轉,13440009
RPTNMLTKKHOFFCU77CA,瑞祥段,833.33,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,00560000
RPTNMLTKKHOFFCU77CA,瑞祥段,64.56,非都市：一般農業區 ; 非都市編定：甲種建築用地,3,1,持分移轉,00560001
RPTNMLTKKHOFFCU77CA,瑞祥段,1153.88,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,00560002
