編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLMKKHOFFAU57DC,北濱段,4.75,都市：商,,,,10310000
RPPOMLSKKHOFFAU37CC,主商段,1.00,都市：住,,,,09670000
RPPOMLSKKHOFFAU37CC,主商段,1.00,都市：住,,,,09670001
RPUOMLLKKHOFFAU17CC,自強段,4.97,都市：住,,,,00140000
RPUNMLPKKHOFFAU47CC,富國段,.01,都市：住,,,,00760000
RPTOMLLKKHOFFAU07CC,民勤段,8.26,都市：住,,,,02190000
RPTOMLLKKHOFFAU07CC,民勤段,8.33,都市：住,,,,02200000
RPTOMLLKKHOFFAU07CC,民勤段,8.24,都市：住,,,,02210000
RPSOMLLKKHOFFAU96CC,民意段,16.83,都市：住,,,,08190000
RPUNMLMKKHOFFAU17CC,自強段,10.89,都市：住,,,,05600000
RPVNMLKLKHOFFAU17CC,民孝段,49.00,都市：住,,,,00690000
RPPNMLMKKHOFFAU66CC,福祥段,14.41,都市：住,,,,09820000
RPPNMLMKKHOFFAU66CC,福祥段,.75,都市：住,,,,10140001
RPWOMLLKKHOFFAU37CC,裕民段,152.00,都市：住,,,,04360005
RPUNMLLLKHOFFAU17CC,莊敬段,6.77,都市：住,,,,04260000
RPVOMLLKKHOFFAU27CC,富國段,13.95,都市：住,,,,01540000
RPROMLLLKHOFFAU96CC,自強段,23.00,都市：住,,,,06000000
RPQNMLKLKHOFFAU76DC,慈安段,63.00,都市：住,,,,04420000
RPVNMLNLKHOFFAU57DC,民享段,9.59,都市：住,,,,06360000
RPUOMLPLKHOFFAU67CC,自強段,97.00,都市：住,,,,01620000
RPRPMLPLKHOFFAU47CC,樹林段,84.39,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,02790000
RPPNMLNLKHOFFAU96DC,民勤段,46.42,都市：住,,,,04300000
RPQPMLPLKHOFFAU37CC,自強段,139.00,都市：住,,,,00720000
RPPNMLQJLHOFFAU17DC,宜昌段,11.00,都市：商,,,,03680001
RPPNMLQJLHOFFAU17DC,宜昌段,119.00,都市：商,,,,03710000
RPOOMLQLKHOFFAU17CC,林森段,110.00,都市：住,,,,37830011
RPUNMLSJLHOFFAU77CC,莊敬段,.00,都市：住,,,,06110004
RPXNMLQJLHOFFAU87CC,自強段,153.00,都市：住,,,,05980000
RPRNMLSJLHOFFAU47CC,莊敬段,.00,都市：住,,,,06110004
RPQOMLPJLHOFFAU17CC,主權段,248.00,都市：商,,,,08690000
RPXNMLQLKHOFFAU97CC,自強段,37.81,都市：住,,,,01940000
RPXNMLPJLHOFFAU77CC,太昌段,2543.00,都市：農,,,,16970000
RPSNMLPJLHOFFAU27CC,樹人段,6.94,都市：住,,,,05230000
RPSNMLPJLHOFFAU27CC,樹人段,7.88,都市：商,,,,05430000
RPSPMLPLKHOFFAU57CC,宜安段,25.00,都市：住,,,,05890000
RPWNMLQLKHOFFAU87CC,宜寧段,82.00,都市：住,,,,01430000
RPWNMLSJLHOFFAU97CC,宜昌段,78.00,都市：商,,,,08650000
RPQNMLLKLHOFFAU76CC,民勤段,20.95,都市：住,,,,04530000
RPPNMLLKLHOFFAU66CC,莊敬段,89.80,都市：住,,,,00890000
RPXNMLLKLHOFFAU47CC,富國段,260.00,都市：住,,,,04850000
RPPPMLMKLHOFFAU96CC,民意段,18.39,都市：住,,,,08190000
RPVNMLLKLHOFFAU27CC,宜昌段,81.00,都市：商,,,,11140000
RPUNMLLKLHOFFAU17CC,國風段,15.36,都市：住,,,,09060000
RPPOMLMKLHOFFAU86CC,莊敬段,.00,都市：住,,,,06110004
RPOOMLLKLHOFFAU66CC,慈安段,19.93,都市：住,,,,08730000
RPSNMLLKLHOFFAU96CC,林森段,54.09,都市：住,,,,02040004
RPTNMLLKLHOFFAU07CC,莊敬段,.00,都市：住,,,,06110004
RPRNMLLKLHOFFAU86CC,富國段,10.99,都市：住,,,,00530000
RPWNMLLKLHOFFAU37CC,仁恥段,11.41,都市：住,,,,07100010
RPVNMLNKLHOFFAU47CC,慈惠段,734.13,都市：其他:都市計畫住宅區,,,,08700000
RPVNMLNKLHOFFAU47CC,慈惠段,1079.09,都市：其他:都市計畫住宅區,,,,08830000
RPVNMLNKLHOFFAU47CC,慈惠段,399.29,都市：其他:廣場用地,,,,08830001
RPSOMLSLLHOFFAU08EC,富國段,11.49,都市：商,,,,02280000
RPQNMLMLLHOFFAU07DC,慈勝段,162.00,都市：住,,,,03410000
RPROMLSLLHOFFAU87DC,民勤段,70.00,都市：農,,,,10080014
RPUNMLLJMHOFFAU27DC,福興段,87.36,都市：住,,,,06810003
RPVNMLLJMHOFFAU37DC,主權段,161.00,都市：商,,,,08300000
RPXNMLSLLHOFFAU38DC,嘉新段,10.00,都市：農,,,,00080000
RPXNMLSLLHOFFAU38DC,嘉新段,20.00,都市：農,,,,03360000
RPXNMLNJMHOFFAU67CC,富國段,13.56,都市：住,,,,05400000
RPQPMLTLLHOFFAU87CC,德安段,93.00,都市：住,,,,00930000
RPWNMLQLLHOFFAU97CC,富國段,4.51,都市：住,,,,04810000
RPWNMLNJMHOFFAU57CC,自強段,34.78,都市：住,,,,01940000
RPPOMLTLLHOFFAU67CC,裕民段,12.08,都市：住,,,,05230000
RPPOMLTLLHOFFAU67CC,裕民段,5.47,都市：住,,,,05240000
RPVNMLNJMHOFFAU47CC,民勤段,18.63,都市：住,,,,04540000
RPPNMLTJMHOFFAU67EC,明義段,17.37,都市：商,,,,07480000
RPQNMLKKMHOFFAU86DC,主權段,72.00,都市：住,,,,04050000
RPRNMLTJMHOFFAU67CC,富國段,8.40,都市：住,,,,00530000
RPWOMLNJMHOFFAU67CC,樹人段,75.00,都市：住,,,,00040011
RPPPMLNJMHOFFAU07CC,嘉南段,73.00,都市：住,,,,08510012
RPVNMLSJMHOFFAU97CC,富國段,.00,都市：住,,,,00860000
RPTOMLNJMHOFFAU37CC,自強段,5.63,都市：住,,,,00140000
RPQNMLSJMHOFFAU47CC,民享段,88.00,都市：商,,,,12030000
RPOOMLNJMHOFFAU86CC,宜寧段,9.38,都市：商,,,,02600000
RPXOMLNJMHOFFAU77CC,民享段,19.93,都市：住,,,,12130000
RPQNMLMKMHOFFAU96CC,德安段,.00,都市：住,,,,00930000
RPPNMLOJMHOFFAU96CC,富國段,222.00,都市：住,,,,00860000
RPTNMLMKMHOFFAU27CC,莊敬段,.00,都市：住,,,,04970000
RPXNMLMKMHOFFAU67CC,國風段,.00,非都市： ; 非都市編定：,,,,06380000
RPSOMLMKMHOFFAU27CC,莊敬段,151.00,都市：商,,,,03490000
RPPNMLNKMHOFFAU96CC,莊敬段,96.66,都市：住,,,,03160000
RPVOMLRKMHOFFAU08CC,自強段,.00,都市：住,,,,03060000
RPSPMLMLMHOFFAU47CC,嘉南段,.00,都市：商,,,,03910009
RPUNMLTKMHOFFAU08CC,慈惠段,106.76,都市：住,,,,09400006
RPVNMLRKMHOFFAU97CC,富國段,.00,都市：商,,,,02120004
RPXNMLRKMHOFFAU18CC,富國段,.00,都市：住,,,,02010001
RPUOMLQKMHOFFAU87CC,自強段,.00,都市：住,,,,05600000
RPSNMLPKMHOFFAU47CC,樹人段,66.00,都市：住,,,,00540000
RPTPMLMLMHOFFAU57CC,嘉南段,.00,都市：商,,,,03910009
RPQNMLQKMHOFFAU37CC,宜安段,12.72,都市：住,,,,00470000
RPVPMLMLMHOFFAU77CC,嘉南段,.00,都市：商,,,,03910019
RPXPMLMLMHOFFAU97CC,嘉南段,.00,都市：商,,,,03910009
RPTNMLNLMHOFFAU47CC,民享段,70.00,都市：住,,,,11370000
RPSOMLTLMHOFFAU08CC,富國段,.00,都市：住,,,,02010001
RPRNMLPLMHOFFAU47CC,,24.00,都市：住,,,,09220000
RPRNMLPLMHOFFAU47CC,,63.00,都市：住,,,,09230000
RPRNMLPLMHOFFAU47CC,,7.00,都市：住,,,,09240000
RPTOMLTLMHOFFAU18CC,福安段,.00,都市：住,,,,14270000
RPROMLTLMHOFFAU97CC,富國段,.00,都市：商,,,,02120004
RPVNMLTLMHOFFAU28CC,主商段,93.00,都市：商,,,,04840001
RPROMLQLMHOFFAU67CC,,49.50,都市：住,,,,08720007
RPWNMLNLMHOFFAU77CC,民德段,15.44,都市：住,,,,05670000
RPRNMLQLMHOFFAU57CC,樹人段,8.83,都市：商,,,,06350000
RPQOMLQLMHOFFAU57CC,莊敬段,19.89,都市：住,,,,00420000
RPOOMLPLMHOFFAU27CC,民意段,97.00,都市：住,,,,04000001
RPXNMLKMMHOFFAU67CC,民生段,19.56,都市：商,,,,11720000
RPOOMLKMMHOFFAU86CC,宜寧段,90.00,都市：住,,,,07240000
RPPOMLKMMHOFFAU96CC,福興段,109.00,都市：住,,,,08850052
RPROMLKMMHOFFAU17CC,福安段,70.00,都市：住,,,,18400000
RPVNMLMJNHOFFAU47CC,華興段,273.86,非都市：特定農業區 ; 非都市編定：農牧用地,,,,08510000
RPVNMLMJNHOFFAU47CC,華興段,135.33,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,08510001
RPQOMLKMMHOFFAU07CC,主權段,37.50,都市：住,,,,04210000
RPPOMLMJNHOFFAU96CC,,.00,都市：住,,,,00760000
RPUNMLMJNHOFFAU47DC,富國段,130.00,都市：住,,,,00680012
RPQNMLNJNHOFFAU07CC,自強段,110.00,都市：住,,,,01440001
RPRNMLQJNHOFFAU57DC,國風段,.00,都市：住,,,,05440003
RPRNMLQJNHOFFAU57DC,國風段,.00,都市：住,,,,05440002
RPTNMLRJNHOFFAU87DC,池南段,285.27,都市：其他:機關用地,,,,04900002
RPVNMLRJNHOFFAU97CC,國光段,21.53,都市：住,,,,00330000
RPQNMLRJNHOFFAU57DC,民勤段,40.00,都市：住,,,,14280000
RPROMLRJNHOFFAU67CC,主權段,8.49,都市：住,,,,07850000
RPWNMLRJNHOFFAU08CC,福安段,85.50,都市：住,,,,07320000
RPRNMLTJNHOFFAU87DC,富國段,28.42,都市：住,,,,04030012
RPSNMLKKNHOFFAU07CC,嘉南段,.00,都市：商,,,,03910019
RPQOMLRJNHOFFAU57CC,林森段,63.00,都市：住,,,,25370000
RPUNMLTJNHOFFAU08CC,慈惠段,107.55,都市：其他:住工用,,,,06240000
RPUNMLTJNHOFFAU08CC,慈惠段,82.00,都市：其他:住工用,,,,06590000
RPUNMLKKNHOFFAU27CC,嘉南段,.00,都市：商,,,,03910019
RPXNMLKKNHOFFAU57CC,嘉南段,.00,都市：商,,,,03910019
