鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
池上鄉,土地,福文段879-1地號,2.7,住,,,1080123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,46740,17311,,0.0,0,畸零地或有合併使用之交易。；,RPRNMLMKKHOFFCV96CA,0.0,0.0,0.0,,
太麻里鄉,房地(土地+建物),臺東縣卑南鄉龍泉路５３巷３號七樓之７,8.08,其他,,,1080121,土地2建物1車位0,七層,八層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0830930,37.61,1,1,1,有,無,500000,13294,,0.0,0,,RPQNMLPKKHOFFDV27CA,27.74,0.0,3.8,,
達仁鄉,土地,森永段568地號,2410.0,,山坡地保育區,林業用地,1080124,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50000,21,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLSKKHOFFDV47CA,0.0,0.0,0.0,,
大武鄉,房地(土地+建物),臺東縣大武鄉民有街９０號,72.48,住,,,1080123,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,0970522,134.64,3,2,2,有,無,2500000,18568,,0.0,0,,RPRNMLOKKHOFFDV27CA,134.64,0.0,0.0,,
關山鎮,土地,隆盛段14地號,4031.58,,特定農業區,農牧用地,1080116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5200000,1290,,0.0,0,權利人等二人，該宗土地上有部分遭他人佔用，權利人知情。,RPPNMLMKKHOFFCV76CA,0.0,0.0,0.0,,
台東市,房地(土地+建物),臺東縣臺東市上海街14巷31弄8號,94.0,住,,,1080108,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0680320,107.52,3,2,2,有,無,5700000,53013,,0.0,0,,RPQNMLTKKHOFFAV47DA,107.52,0.0,0.0,,
台東市,土地,台東段1499地號,262.0,住,,,1080108,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9700000,37023,,0.0,0,,RPPNMLPKKHOFFAV86CA,0.0,0.0,0.0,,
台東市,土地,岩灣段343地號,140.3,住,,,1080121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,49893,,0.0,0,,RPPNMLMKKHOFFAV56CA,0.0,0.0,0.0,,
台東市,土地,旭川段700地號,2343.8,,特定農業區,農牧用地,1080131,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3281327,1400,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLLLKHOFFAV76CA,0.0,0.0,0.0,,
卑南鄉,土地,利家段6559地號,2073.0,,特定農業區,農牧用地,1071225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4686000,2260,,0.0,0,,RPSNMLLKLHOFFAV86CA,0.0,0.0,0.0,,
台東市,房地(土地+建物),臺東縣臺東市新社二街１９巷９號,48.0,住,,,1080122,土地1建物1車位0,全,三層,透天厝,住商用,見其他登記事項,0650518,113.49,4,2,2,有,無,3000000,26434,,0.0,0,,RPQNMLNKKHOFFAV76CA,113.49,0.0,0.0,,
卑南鄉,土地,山里段451地號,694.58,,特定農業區,農牧用地,1080122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,220000,317,,0.0,0,,RPSNMLOKKHOFFAV07CA,0.0,0.0,0.0,,
台東市,土地,豐榮段1084地號,1755.0,其他,,,1080115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2900000,1652,,0.0,0,包含公共設施保留地之交易。；,RPQNMLKLKHOFFAV56CA,0.0,0.0,0.0,,
