編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLPKKHOFFDV27CA,24,6.07,樓梯間．門房走道,鋼筋混凝土造,83年9月30日,八層,
RPQNMLPKKHOFFDV27CA,24,31.54,套房,鋼筋混凝土造,83年9月30日,八層,七層 陽台
RPRNMLOKKHOFFDV27CA,11,134.64,車庫，住宅,ＲＣ造,97年5月22日,三層,一層 二層 三層
RPQNMLTKKHOFFAV47DA,40,107.52,住家用,加強磚造,68年3月20日,二層,一層 二層
RPQNMLNKKHOFFAV76CA,43,113.49,住商用,鐵筋水泥磚,65年5月18日,三層,一層 二層 三層 騎樓
RPRNMLKLKHOFFAV66CA,21,223.50,住家用,鋼筋混凝土造,87年6月3日,三層,一層 二層 三層 陽台 屋頂突出物
RPXNMLRLKHOFFAV97CA,5,304.13,住家用,ＲＣ造,102年8月22日,三層,一層 二層 三層 見其他登記事項
RPPNMLKLKHOFFAV09CA,5,277.89,住家用,ＲＣ造,102年9月5日,三層,一層 二層 三層 屋頂突出物 見其他登記事項
RPRNMLTKKHOFFDV77CA,24,31.54,套房,鋼筋混凝土造,83年9月30日,八層,五層 陽台
RPRNMLTKKHOFFDV77CA,24,6.07,樓梯間．門房走道,鋼筋混凝土造,83年9月30日,八層,
RPSNMLTKKHOFFDV87CA,24,31.54,套房,鋼筋混凝土造,83年9月30日,八層,七層 陽台
RPSNMLTKKHOFFDV87CA,24,6.07,樓梯間．門房走道,鋼筋混凝土造,83年9月30日,八層,
RPPNMLOKLHOFFBV07DA,38,82.65,住家用,鋼筋混凝土加強磚造,70年1月15日,二層,一層 二層
RPPNMLNLKHOFFAV76CA,23,24.58,集合住宅,鋼筋混凝土造,85年1月10日,三層,二層
RPPNMLNLKHOFFAV76CA,23,5.94,樓梯間、集合住宅（共同使用）,鋼筋混凝土造,85年1月10日,三層,
RPRNMLMLKHOFFAV86CA,23,223.19,住家用,鋼筋混凝土造,84年12月26日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLPLKHOFFDV37CA,24,31.54,套房,鋼筋混凝土造,83年9月30日,八層,六層 陽台
RPQNMLPLKHOFFDV37CA,24,6.07,樓梯間．門房走道,鋼筋混凝土造,83年9月30日,八層,
RPPNMLKLLHOFFBV66CA,35,209.16,地面層：住家用　貳．參層：自用農舍,加強磚造,73年2月22日,三層,一層 二層 三層 陽台 騎樓
RPSNMLMLKHOFFAV96CA,,92.00,住家用,鐵筋水泥磚,,一層,一層 騎樓
RPQNMLRLKHOFFAV27CA,38,110.88,住家用,加強磚造,69年10月6日,二層,一層 二層 騎樓
RPUNMLMLKHOFFAV17CA,40,119.80,住家用,加強磚造,68年7月17日,二層,一層 二層 騎樓
RPRNMLPLKHOFFAV17CA,,201.12,Ｈ２住宅、樓梯間,ＲＣ造,107年10月22日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPVNMLPLKHOFFAV57CA,,301.11,騎樓、店鋪、住宅、樓梯間,ＲＣ造,107年11月7日,四層,一層 二層 三層 四層 屋頂突出物 騎樓 見其他登記事項
RPXNMLPLKHOFFAV77CA,,297.51,騎樓、店鋪、住宅、樓梯間,ＲＣ造,107年11月7日,四層,一層 二層 三層 四層 屋頂突出物 騎樓 見其他登記事項
RPUNMLQLKHOFFAV57CA,41,112.14,住家用,鋼筋水泥加強磚造,66年10月3日,二層,一層 二層 騎樓
RPRNMLSKLHOFFAV47CA,23,180.64,住商用,鋼筋混凝土造,84年12月26日,三層,一層 二層 三層 騎樓 見其他登記事項
RPQOMLRLKHOFFAV37CA,37,91.53,住家用,鋼筋混凝土造,70年10月21日,七層,六層 陽台
RPTNMLPLKHOFFAV47DA,8,2107.35,旅館,ＲＣ造,100年6月24日,五層,一層 二層 三層 四層 五層 屋頂突出物 見其他登記事項
RPPNMLRLKHOFFAV17CA,24,109.58,集合住宅,鋼筋混凝土造,84年2月17日,八層,二層 陽台 花台
RPPNMLRLKHOFFAV17CA,24,14.08,車道、警衛室、托兒所、電梯、樓梯,鋼筋混凝土造,84年2月17日,八層,
RPPNMLRLKHOFFAV17CA,24,19.35,防空避難室暨停車空間、配電室,鋼筋混凝土造,84年2月17日,八層,
RPPOMLPLKHOFFAV07CA,46,328.02,商業用,加強磚造,62年5月26日,三層,一層 二層 三層 騎樓
RPQNMLOJLHOFFAV86CA,23,32.66,集合住宅,鋼筋混凝土結構造,84年10月4日,十二層,八層
RPQNMLOJLHOFFAV86CA,23,9.33,避難室．樓梯間．走道（共同使用部份）,鋼筋混凝土結構造,84年10月4日,十二層,
RPRNMLOJLHOFFAV96CA,40,92.59,住家用,加強磚造,68年3月27日,二層,一層 二層
RPSNMLQLKHOFFAV37CA,7,178.15,住家用,ＲＣ造,100年9月28日,三層,一層 二層 三層 見其他登記事項
RPRNMLQLKHOFFAV27CA,46,90.09,住家用,鐵筋水泥磚,62年4月26日,二層,一層 二層 騎樓
RPTNMLLKLHOFFAV96CA,21,64.72,集合住宅,鋼筋混凝土造,86年9月26日,五層,一層 陽台
RPTNMLLKLHOFFAV96CA,21,7.92,電梯．樓梯．走廊．水箱．機械房．儲藏室．瞭望台,鋼筋混凝土造,86年9月26日,五層,
RPTNMLLKLHOFFAV96CA,21,14.61,儲藏室、停車空間、蓄水池,鋼筋混凝土造,86年9月26日,五層,
RPXNMLLKLHOFFAV37CA,56,309.30,店鋪、住家,磚造、加強磚造、ＲＣ磚造,51年10月18日,三層,一層 二層 三層 騎樓
RPUNMLLKLHOFFAV07CA,21,179.58,住家用,鋼筋混凝土造,87年5月26日,三層,一層 二層 三層 陽台 平台
RPSNMLPJLHOFFAV17CA,,206.98,住宅、樓梯間,ＲＣ造,107年7月24日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPPNMLRJLHOFFDV37CA,24,33.46,套房,鋼筋混凝土造,83年9月30日,八層,八層 陽台
RPPNMLRJLHOFFDV37CA,24,7.59,樓梯間．門房走道,鋼筋混凝土造,83年9月30日,八層,
RPPNMLQJLHOFFBV07CA,27,133.82,住家用,加強磚造,81年5月4日,二層,一層 二層 屋頂突出物 騎樓
RPTNMLQJLHOFFAV47DA,25,87.17,集合住宅,鋼筋混凝土造,83年4月19日,十四層,八層 陽台
RPTNMLQJLHOFFAV47DA,25,24.52,避難室，電梯．樓梯．地下室．通廊共同使用,鋼筋混凝土造,83年4月19日,十四層,
RPOOMLKLLHOFFAV56CA,30,145.60,住家用,加強磚造,77年8月25日,二層,一層 二層
