編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSKKHOFFDV47CA,森永段,487.50,非都市：山坡地保育區 ; 非都市編定：林業用地,4,1,持分移轉,04250000
RPPNMLSKKHOFFDV47CA,森永段,707.50,非都市：山坡地保育區 ; 非都市編定：林業用地,8,1,持分移轉,05680000
RPPNMLSKKHOFFDV47CA,南田段,1215.00,非都市：山坡地保育區 ; 非都市編定：林業用地,4,1,持分移轉,01650000
RPPNMLMKKHOFFAV56CA,岩灣段,140.30,都市：住,1,1,全筆移轉,03430000
RPQNMLPKKHOFFDV27CA,秀山段,8.08,都市：其他:旅館區,10000,7,持分移轉,07230000
RPQNMLPKKHOFFDV27CA,秀山段,.00,都市：其他:旅館區,10000,7,持分移轉,07230001
RPRNMLMKKHOFFCV96CA,福文段,2.70,都市：住,1,1,全筆移轉,08790001
RPRNMLOKKHOFFDV27CA,復興段,72.48,都市：住,1,1,全筆移轉,04890001
RPQNMLTKKHOFFAV47DA,台東段,94.00,都市：住,1,1,全筆移轉,12720009
RPPNMLMKKHOFFCV76CA,隆盛段,2015.79,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,00140000
RPPNMLMKKHOFFCV76CA,隆盛段,2015.79,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,00140000
RPPNMLPKKHOFFAV86CA,台東段,6.00,都市：住,1,1,全筆移轉,14850002
RPPNMLPKKHOFFAV86CA,台東段,7.00,都市：住,1,1,全筆移轉,14850003
RPPNMLPKKHOFFAV86CA,台東段,4.00,都市：住,1,1,全筆移轉,14970001
RPPNMLPKKHOFFAV86CA,台東段,245.00,都市：住,1,1,全筆移轉,14990000
RPPNMLOKKHOFFAV86DA,利家段,220.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02930018
RPSNMLOKKHOFFAV07CA,山里段,694.58,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04510000
RPRNMLLLKHOFFAV76CA,旭川段,2343.80,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,07000000
RPQNMLNKKHOFFAV76CA,中山段,48.00,都市：住,1,1,全筆移轉,01960000
RPPNMLPKKHOFFDV17CA,泰王段,12.03,都市：其他:道,1,1,全筆移轉,02760000
RPPNMLPKKHOFFDV17CA,泰王段,77.84,都市：商,1,1,全筆移轉,02770000
RPQNMLKLKHOFFAV56CA,豐榮段,1755.00,都市：其他:道路用地,1,1,全筆移轉,10840000
RPRNMLKLKHOFFAV66CA,普優瑪段,122.54,都市：住,1,1,全筆移轉,06910002
RPPNMLTKKHOFFCV47CA,月美段,2399.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01150001
RPPNMLMLKHOFFBV76CA,北都蘭段,830.14,非都市：風景區 ; 非都市編定：農牧用地,30,15,持分移轉,01730000
RPQNMLPKKHOFFAV96CA,豐成段,162.15,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09040000
RPQNMLPKKHOFFAV96CA,豐成段,3159.72,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09050000
RPXNMLRLKHOFFAV97CA,岩灣段,223.80,都市：住,1,1,全筆移轉,00610004
RPPNMLTKKHOFFAV27CA,普優瑪段,6.32,都市：農,1,1,全筆移轉,08090001
RPPNMLKLKHOFFAV09CA,岩灣段,138.95,都市：住,1,1,全筆移轉,00740001
RPRNMLTKKHOFFDV77CA,秀山段,8.08,都市：其他:旅館區,10000,7,持分移轉,07230000
RPRNMLTKKHOFFDV77CA,秀山段,.00,都市：其他:旅館區,10000,7,持分移轉,07230001
RPPNMLTKKHOFFBV37CA,高原段,3321.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,05330000
RPQNMLMLKHOFFAV76CA,台東段,54.00,都市：住,1,1,全筆移轉,00080093
RPQNMLMLKHOFFAV76CA,台東段,5.00,都市：住,1,1,全筆移轉,00080357
RPSNMLTKKHOFFDV87CA,秀山段,8.08,都市：其他:旅館區,10000,7,持分移轉,07230000
RPSNMLTKKHOFFDV87CA,秀山段,.00,都市：其他:旅館區,10000,7,持分移轉,07230001
RPPNMLOKLHOFFBV07DA,南河段,115.45,都市：住,1,1,全筆移轉,05050000
RPPNMLOKLHOFFBV07DA,南河段,19.34,都市：住,1,1,全筆移轉,05060000
RPTNMLLLKHOFFAV96CA,初鹿段,2840.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,37600000
RPPNMLNLKHOFFAV76CA,建樂段,16.45,都市：住,10000,933,持分移轉,05630000
RPRNMLMLKHOFFAV86CA,馬蘭段,109.00,都市：住,1,1,全筆移轉,15200002
RPROMLPLKHOFFAV27CA,新生段,2656.00,都市：農,1,1,全筆移轉,16240000
RPQNMLPLKHOFFAV07CA,豐成段,2503.06,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06520001
