編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLTKKHOFFAW67CA,4,186.21,集合住宅,鋼筋混凝土造,104年4月30日,三層,一層 二層 三層 陽台
RPPNMLLLKHOFFAW66CA,4,40.92,集合住宅,鋼筋混凝土造,104年4月29日,三層,一層 陽台 雨遮
RPRNMLSKKHOFFAW47CA,4,31.72,集合住宅,鋼筋混凝土造,103年11月13日,三層,一層 陽台
RPPNMLLLKHOFFAW66CA,4,13.44,共有部分：本共有部分之項目計有機房空間、樓梯間、電梯、雨遮、走廊等五項。,鋼筋混凝土造,104年4月29日,三層,
RPRNMLSKKHOFFAW47CA,4,4.36,共有部分：本共有部分之項目有走廊、樓梯間等二項。,鋼筋混凝土造,103年11月13日,三層,
RPVNMLNLKHOFFAW47CA,3,9.72,共有部分：本共有部分之項目有機械房１項。,鋼筋混凝土造,104年12月1日,十層,
RPVNMLNLKHOFFAW47CA,3,72.48,集合住宅,鋼筋混凝土造,104年12月1日,十層,五層 陽台 雨遮
RPVNMLNLKHOFFAW47CA,3,5.68,共有部分：本共有部分之項目有梯廳１項。,鋼筋混凝土造,104年12月1日,十層,
RPVNMLNLKHOFFAW47CA,3,8.02,共有部分：本共有部分之項目有安全梯、昇降機、梯廳、水錶室、屋頂水箱、電梯機械室等６項。,鋼筋混凝土造,104年12月1日,十層,
RPVNMLNLKHOFFAW47CA,3,45.64,共有部分：本共有部分之項目有車道、管委會空間、梯廳、陽台、蓄水池、防空避難室兼停車空間、電信機房、機械室、緊急發電機室、消防泵浦室、昇降機、安全梯、台電配電場所等１３項。本成果表停車位共計４１位。,鋼筋混凝土造,104年12月1日,十層,
RPTNMLPJLHOFFAW37CA,2,76.76,集合住宅,鋼筋混凝土造,106年1月12日,三層,一層 陽台
RPTNMLPJLHOFFAW37CA,2,46.63,共有部分：本共有部分之項目有甲梯（地下室至一樓）、乙梯（地下室至一樓）、防空避難室兼停車空間、水箱室、消防機房、消防水池、發電機房、台電受電室、車道（一樓）、污水暫存池等１０項。,鋼筋混凝土造,106年1月12日,三層,
RPTNMLPJLHOFFAW37CA,2,9.58,共有部分：本共有部分之項目有丙梯（一至三樓樓梯間）１項。,鋼筋混凝土造,106年1月12日,三層,
RPSNMLPJLHOFFAW27CA,2,46.51,集合住宅,鋼筋混凝土造,106年1月12日,三層,三層 陽台
RPSNMLPJLHOFFAW27CA,2,9.99,共有部分：本共有部分之項目有乙梯（一至三樓樓梯間）及外廊等２項。,鋼筋混凝土造,106年1月12日,三層,
RPSNMLPJLHOFFAW27CA,2,26.66,共有部分：本共有部分之項目有甲梯（地下室至一樓）、乙梯（地下室至一樓）、防空避難室兼停車空間、水箱室、消防機房、消防水池、發電機房、台電受電室、車道（一樓）、污水暫存池等１０項。,鋼筋混凝土造,106年1月12日,三層,
RPPNMLMLKHOFFAW76CA,,79.83,集合住宅,鋼筋混凝土造,107年11月27日,三層,二層 陽台
RPPNMLMLKHOFFAW76CA,,6.53,共有部分：本共有部分之項目有安全梯１項。,鋼筋混凝土造,107年11月27日,三層,
RPRNMLNLKHOFFAW07CA,1,64.81,集合住宅,鋼筋混凝土造,107年4月25日,三層,三層 陽台
RPRNMLNLKHOFFAW07CA,1,6.74,共有部分：本共有部分之項目有門廳、樓梯間及電梯間等３項。,鋼筋混凝土造,107年4月25日,三層,
RPRNMLNLKHOFFAW07CA,1,64.81,集合住宅,鋼筋混凝土造,107年4月25日,三層,三層 陽台
RPRNMLNLKHOFFAW07CA,1,6.74,共有部分：本共有部分之項目有門廳、樓梯間及電梯間等３項。,鋼筋混凝土造,107年4月25日,三層,
RPRNMLQLKHOFFAW37CA,4,101.37,集合住宅,鋼筋混凝土造,104年2月3日,三層,三層 陽台 雨遮
RPRNMLQLKHOFFAW37CA,4,21.49,共有部分：本共有部分之項目計有機房、樓梯間等２項。,鋼筋混凝土造,104年2月3日,三層,
RPTNMLRLKHOFFAW77DA,3,92.04,集合住宅,鋼筋混凝土造,104年7月21日,三層,三層 陽台 雨遮
RPTNMLRLKHOFFAW77DA,3,47.52,共有部分：本共有部分之項目有樓梯間、電梯間、梯廳、機房、電信機房、蓄水池抽水設備、車道、停車場及停車位等９項。,鋼筋混凝土造,104年7月21日,三層,
RPPNMLNKLHOFFAW86CA,,44.78,集合住宅,鋼筋混凝土造,107年12月10日,五層,五層 陽台
RPPNMLNKLHOFFAW86CA,,9.66,共有部分：本共有部分之項目有樓梯間、梯廳、甲梯、電訊室、乙梯、水箱、機械室等７項。,鋼筋混凝土造,107年12月10日,五層,
RPPNMLNKLHOFFAW86CA,,44.78,集合住宅,鋼筋混凝土造,107年12月10日,五層,五層 陽台
RPPNMLNKLHOFFAW86CA,,9.66,共有部分：本共有部分之項目有樓梯間、梯廳、甲梯、電訊室、乙梯、水箱、機械室等７項。,鋼筋混凝土造,107年12月10日,五層,
RPRNMLOKLHOFFAW17CA,24,213.03,住商用,鋼筋混凝土加強磚造,83年11月24日,三層,一層 二層 三層 陽台
RPTNMLOKLHOFFAW37CA,6,379.83,集村農舍,鋼筋混凝土造,101年11月8日,三層,一層 二層 三層 陽台
RPVNMLPJLHOFFAW57CA,2,87.60,集合住宅。,鋼筋混凝土造,106年5月25日,三層,二層 陽台
RPVNMLPJLHOFFAW57CA,2,6.81,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,106年5月25日,三層,
RPPNMLLKLHOFFAW66CA,2,71.30,集合住宅,鋼筋混凝土造,105年12月28日,三層,一層 陽台 雨遮
RPPNMLLKLHOFFAW66CA,2,6.49,共有部分：本共有部分之項目有樓梯間、雨遮等２項。,鋼筋混凝土造,105年12月28日,三層,
RPQNMLLKLHOFFAW76CA,2,71.30,集合住宅,鋼筋混凝土造,105年12月28日,三層,二層 陽台 雨遮
RPQNMLLKLHOFFAW76CA,2,6.49,共有部分：本共有部分之項目有樓梯間、雨遮等２項。,鋼筋混凝土造,105年12月28日,三層,
RPRNMLMKLHOFFAW96CA,1,4.80,共有部分：本共有部分之項目有梯間１項。,鋼筋混凝土造,107年3月8日,三層,
RPRNMLMKLHOFFAW96CA,1,63.91,集合住宅,鋼筋混凝土造,107年3月8日,三層,三層 陽台
RPQNMLMKLHOFFAW86CA,7,73.23,集合住宅,鋼筋混凝土造,101年2月24日,七層,四層 陽台 雨遮
RPQNMLMKLHOFFAW86CA,7,32.27,共有部分：本共有部分之項目有安全梯、電梯間、梯廳、機電設備室、電信室、機械室、水箱等七項。,鋼筋混凝土造,101年2月24日,七層,
RPSNMLMKLHOFFAW07CA,,87.29,集合住宅,鋼筋混凝土造,107年12月10日,五層,五層 陽台
RPSNMLMKLHOFFAW07CA,,19.33,共有部分：本共有部分之項目有樓梯間、梯廳、甲梯、電訊室、乙梯、水箱、機械室等７項。,鋼筋混凝土造,107年12月10日,五層,
RPRNMLLKLHOFFAW86CA,2,74.38,集合住宅,鋼筋混凝土造,105年12月28日,三層,二層 陽台
RPRNMLLKLHOFFAW86CA,2,6.78,共有部分：本共有部分之項目有樓梯間、雨遮等２項。,鋼筋混凝土造,105年12月28日,三層,
RPQNMLQJLHOFFAW27DA,7,164.36,集合住宅,鋼筋混凝土造,101年7月11日,三層,一層 二層 三層 陽台
RPWNMLLKLHOFFAW37CA,1,93.26,集合住宅,鋼筋混凝土造,107年7月23日,三層,二層 陽台
RPWNMLLKLHOFFAW37CA,1,8.21,共有部分：本共有部分之項目計有門廳、梯廳及樓梯間等３項。,鋼筋混凝土造,107年7月23日,三層,
RPRNMLSKLHOFFAW57CA,1,129.62,集合住宅,鋼筋混凝土造,107年4月25日,三層,二層 陽台
RPRNMLSKLHOFFAW57CA,1,13.47,共有部分：本共有部分之項目有門廳、樓梯間及電梯間等３項。,鋼筋混凝土造,107年4月25日,三層,
RPUNMLLKLHOFFAW17CA,1,80.40,集合住宅,鋼筋混凝土造,107年7月23日,三層,二層 陽台
RPUNMLLKLHOFFAW17CA,1,7.02,共有部分：本共有部分之項目計有門廳、梯廳及樓梯間等３項。,鋼筋混凝土造,107年7月23日,三層,
RPTNMLNKLHOFFAW27CA,2,24.40,見其他登記事項,鋼筋混凝土造,105年11月16日,三層,一層
RPTNMLNKLHOFFAW27CA,2,3.55,見其他登記事項,鋼筋混凝土造,105年11月16日,三層,
RPUNMLMKLHOFFAW27CA,1,73.17,集合住宅,鋼筋混凝土造,107年3月8日,三層,三層 陽台
RPUNMLMKLHOFFAW27CA,1,4.80,共有部分：本共有部分之項目有梯間１項。,鋼筋混凝土造,107年3月8日,三層,
RPPNMLRKLHOFFAW27CA,1,185.26,住家用,鋼筋混凝土造,107年3月27日,三層,一層 二層 三層 陽台
RPQNMLNKLHOFFAW07DA,,89.57,集合住宅,鋼筋混凝土造,107年12月10日,五層,四層 陽台
RPQNMLNKLHOFFAW07DA,,19.33,共有部分：本共有部分之項目有樓梯間、梯廳、甲梯、電訊室、乙梯、水箱、機械室等７項。,鋼筋混凝土造,107年12月10日,五層,
RPQNMLPKLHOFFAW17CA,1,185.67,住家用,鋼筋混凝土造,107年3月27日,三層,一層 二層 三層 陽台
RPSNMLOKLHOFFAW27CA,4,162.73,住家用,鋼筋混凝土造,103年11月24日,三層,一層 二層 三層 陽台 雨遮
