編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOKKHOFFAW96DA,西方劃測段,261.75,都市：農,4,1,持分移轉,04300000
RPPNMLOKKHOFFAW96DA,西方劃測段,294.50,都市：農,2,1,持分移轉,04380000
RPSNMLTKKHOFFAW67CA,安西劃段,97.76,都市：其他:自然村用地,1,1,全筆移轉,03630003
RPSNMLNLKHOFFAW17CA,寧安二劃段,333.33,都市：農,36,12,持分移轉,00130000
RPSNMLNLKHOFFAW17CA,寧安二劃段,166.67,都市：農,36,6,持分移轉,00130000
RPSNMLNLKHOFFAW17CA,寧安二劃段,166.67,都市：農,36,6,持分移轉,00130000
RPPNMLLLKHOFFAW66CA,湖前段,22.83,都市：住,100000,1711,持分移轉,08920000
RPRNMLSKKHOFFAW47CA,青山段,19.92,都市：其他:自然村專用區,10000,234,持分移轉,10450001
RPTNMLNLKHOFFAW27CA,寧安二劃段,166.67,都市：農,36,6,持分移轉,00130000
RPTNMLNLKHOFFAW27CA,寧安二劃段,83.33,都市：農,36,3,持分移轉,00130000
RPTNMLNLKHOFFAW27CA,寧安二劃段,83.33,都市：農,36,3,持分移轉,00130000
RPQNMLMLKHOFFAW86CA,后宅測段,612.11,都市：農,1,1,全筆移轉,00540000
RPVNMLNLKHOFFAW47CA,市港段,18.81,都市：住,10000,119,持分移轉,00080000
RPQNMLRLKHOFFAW37CA,浯坑劃測段,539.99,都市：農,1,1,全筆移轉,00710000
RPPNMLKLKHOFFAW66DA,寧安二劃段,333.33,都市：農,3,1,持分移轉,03250000
RPWNMLNLKHOFFAW57CA,沙港劃段,646.48,都市：農,1,1,全筆移轉,02690000
RPUNMLMLKHOFFAW27CA,市港段,1194.78,都市：住,1,1,全筆移轉,00320000
RPUNMLMLKHOFFAW27CA,市港段,1049.90,都市：住,1,1,全筆移轉,00330000
RPUNMLMLKHOFFAW27CA,市港段,1030.31,都市：住,1,1,全筆移轉,00340000
RPUNMLMLKHOFFAW27CA,市港段,140.00,都市：住,1,1,全筆移轉,00390000
RPUNMLMLKHOFFAW27CA,市港段,140.00,都市：住,1,1,全筆移轉,00400000
RPUNMLMLKHOFFAW27CA,市港段,140.00,都市：住,1,1,全筆移轉,00410000
RPUNMLMLKHOFFAW27CA,市港段,140.00,都市：住,1,1,全筆移轉,00420000
RPUNMLMLKHOFFAW27CA,市港段,140.00,都市：住,1,1,全筆移轉,00430000
RPUNMLMLKHOFFAW27CA,市港段,140.00,都市：住,1,1,全筆移轉,00440000
RPUNMLMLKHOFFAW27CA,市港段,140.00,都市：住,1,1,全筆移轉,00450000
RPUNMLMLKHOFFAW27CA,市港段,140.00,都市：住,1,1,全筆移轉,00460000
RPUNMLMLKHOFFAW27CA,市港段,140.00,都市：住,1,1,全筆移轉,00470000
RPUNMLMLKHOFFAW27CA,市港段,140.00,都市：住,1,1,全筆移轉,00480000
RPUNMLMLKHOFFAW27CA,市港段,140.00,都市：住,1,1,全筆移轉,00490000
RPUNMLMLKHOFFAW27CA,市港段,140.00,都市：住,1,1,全筆移轉,00500000
RPUNMLMLKHOFFAW27CA,市港段,524.75,都市：住,1,1,全筆移轉,00510000
RPTNMLPJLHOFFAW37CA,東店段,55.92,都市：住,100000,4687,持分移轉,03310000
RPSNMLPJLHOFFAW27CA,東店段,31.79,都市：住,100000,2665,持分移轉,03310000
RPPNMLNLKHOFFAW96DA,珠山段,200.00,都市：其他:國家公園,1,1,全筆移轉,10470001
RPPNMLMLKHOFFAW76CA,珠山段,50.79,都市：其他:自然村專用區,9,1,持分移轉,08170000
RPQNMLPLKHOFFAW27DA,上后垵測段,342.76,都市：其他:自然村專用區,2,1,持分移轉,00210000
RPQNMLNLKHOFFAW96CA,北八劃段,1000.00,都市：農,1,1,全筆移轉,01560000
RPQNMLNLKHOFFAW96CA,北八劃段,1000.00,都市：農,1,1,全筆移轉,04140000
RPQNMLNLKHOFFAW96CA,汶沙測段,329.86,都市：其他:第二之一種住宅區、道路用地、廣場用地,1,1,全筆移轉,04800000
RPRNMLNLKHOFFAW07CA,庵邊段,41.67,都市：住,12,1,持分移轉,06000000
RPRNMLNLKHOFFAW07CA,庵邊段,41.67,都市：住,12,1,持分移轉,06000000
RPRNMLQLKHOFFAW37CA,新頭段,47.82,都市：其他:自然村使用區,10000,2898,持分移轉,11730000
RPPNMLQLKHOFFAW27DA,公園測段,140.19,都市：其他:體育場用地,1,1,全筆移轉,02790000
RPPNMLQLKHOFFAW27DA,公園測段,133.47,都市：其他:體育場用地,1,1,全筆移轉,03320000
RPPNMLQLKHOFFAW27DA,公園測段,771.56,都市：農,1,1,全筆移轉,04520000
RPPNMLRLKHOFFAW37DA,湖前段,17.69,都市：住,1,1,全筆移轉,10070002
RPTNMLRLKHOFFAW77DA,東洲段,57.27,都市：住,10000,771,持分移轉,04880000
RPUNMLNKLHOFFAW37CA,陽宅段,699.25,都市：農,1,1,全筆移轉,00740000
RPPNMLNKLHOFFAW86CA,延平段,24.80,都市：住,20000,497,持分移轉,02470000
RPPNMLNKLHOFFAW86CA,延平段,24.80,都市：住,20000,497,持分移轉,02470000
RPRNMLOKLHOFFAW17CA,寧湖一劃段,110.04,都市：其他:自然村專用區,1,1,全筆移轉,03210001
RPTNMLOKLHOFFAW37CA,賢厝段,1735.00,都市：農,1,1,全筆移轉,02540000
RPTNMLOKLHOFFAW37CA,賢厝段,305.00,都市：農,1,1,全筆移轉,06120000
RPTNMLOKLHOFFAW37CA,北一段,31.27,都市：農,5245200,312738,持分移轉,00520000
RPTNMLOKLHOFFAW37CA,北一段,101.76,都市：農,1,1,全筆移轉,00520018
RPTNMLOKLHOFFAW37CA,北一段,106.10,都市：農,1,1,全筆移轉,00520019
RPUNMLPJLHOFFAW47CA,小徑段,99.87,都市：其他:國家公園,1,1,全筆移轉,05130000
RPUNMLPJLHOFFAW47CA,小徑段,1706.18,都市：其他:國家公園,1,1,全筆移轉,05140000
RPUNMLPJLHOFFAW47CA,小徑段,117.16,都市：其他:國家公園,1,1,全筆移轉,05300000
RPUNMLPJLHOFFAW47CA,小徑段,554.88,都市：其他:國家公園,1,1,全筆移轉,05380000
RPVNMLPJLHOFFAW57CA,寧安四劃段,49.00,都市：其他:自然村專用區,9,1,持分移轉,03190000
RPVNMLPJLHOFFAW57CA,寧安四劃段,17.36,都市：其他:自然村專用區,10000,570,持分移轉,03190019
RPPNMLLKLHOFFAW66CA,寧湖二劃測段,45.08,都市：住,135830,14256,持分移轉,07640000
RPQNMLLKLHOFFAW76CA,寧湖二劃測段,45.08,都市：住,135830,14256,持分移轉,07640000
RPRNMLMKLHOFFAW96CA,洋山段,23.26,都市：住,10000,495,持分移轉,09930000
RPRNMLMKLHOFFAW96CA,洋山段,19.60,都市：住,10000,495,持分移轉,10200000
RPPNMLQJLHOFFAW17DA,西園段,721.00,都市：住,1,1,全筆移轉,12750000
RPQNMLMKLHOFFAW86CA,城隍廟段,19.85,都市：住,100,14,持分移轉,08450000
RPSNMLMKLHOFFAW07CA,延平段,48.00,都市：住,10000,481,持分移轉,02470000
RPSNMLQJLHOFFAW37CA,沙港劃段,407.21,都市：農,1,1,全筆移轉,12590000
RPRNMLLKLHOFFAW86CA,寧湖二劃測段,47.03,都市：住,135830,14872,持分移轉,07640000
RPQNMLQJLHOFFAW27DA,寧湖一劃段,90.32,都市：其他:自然村專用區,1,1,全筆移轉,05250009
RPQNMLQJLHOFFAW27DA,寧湖一劃段,10.46,都市：其他:自然村專用區、農業區,1000,76,持分移轉,05250000
RPWNMLLKLHOFFAW37CA,小西門劃測段,58.69,都市：其他:自然村專用區,10000,801,持分移轉,02330002
RPRNMLQJLHOFFAW27CA,龍骨山測段,533.00,都市：農,1,1,全筆移轉,08400000
RPRNMLQJLHOFFAW27CA,龍骨山測段,113.78,都市：農,1,1,全筆移轉,08410000
RPRNMLQJLHOFFAW27CA,龍骨山測段,437.38,都市：其他:保護區,1,1,全筆移轉,09160000
RPRNMLQJLHOFFAW27CA,龍骨山測段,587.01,都市：其他:保護區,1,1,全筆移轉,09180000
RPRNMLQJLHOFFAW27CA,龍骨山測段,590.58,都市：其他:保護區、農業區,1,1,全筆移轉,09740000
RPRNMLQJLHOFFAW27CA,龍骨山測段,273.35,都市：農,1,1,全筆移轉,10020000
RPRNMLQJLHOFFAW27CA,龍骨山測段,280.18,都市：農,1,1,全筆移轉,10050000
RPRNMLQJLHOFFAW27CA,龍骨山測段,469.97,都市：其他:保護區,1,1,全筆移轉,10180000
RPRNMLQJLHOFFAW27CA,東面山測段,480.49,都市：農,1,1,全筆移轉,00160000
RPRNMLQJLHOFFAW27CA,東面山測段,123.12,都市：其他:保護區、農業區,1,1,全筆移轉,00730000
RPRNMLQJLHOFFAW27CA,東面山測段,223.19,都市：其他:保護區,1,1,全筆移轉,00860000
RPRNMLQJLHOFFAW27CA,東面山測段,766.18,都市：其他:保護區、農業區,1,1,全筆移轉,07410000
RPRNMLQJLHOFFAW27CA,東面山測段,214.24,都市：其他:保護區、農業區,1,1,全筆移轉,07450000
RPRNMLQJLHOFFAW27CA,東面山測段,422.63,都市：農,1,1,全筆移轉,07480000
