編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLOKKHOFFAX37CA,通梁南段,99.96,非都市： ; 非都市編定：,6,1,持分移轉,09460000
RPUNMLOKKHOFFAX47CA,通梁南段,299.89,非都市： ; 非都市編定：,2,1,持分移轉,09460000
RPSNMLOKKHOFFAX27CA,通梁南段,99.96,非都市： ; 非都市編定：,6,1,持分移轉,09460000
RPQNMLSJNHOFFAX67CA,馬公段,7.36,非都市： ; 非都市編定：,50000,667,持分移轉,02930001
RPQNMLKLKHOFFAX76CA,馬公段,44.00,非都市： ; 非都市編定：,1,1,全筆移轉,20820000
RPRNMLNKKHOFFAX17DA,後寮段,73.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,25700000
RPXNMLOKKHOFFAX97EA,興仁段,3.03,非都市：一般農業區 ; 非都市編定：農牧用地,1416,15,持分移轉,04830000
RPUNMLKLKHOFFAX17CA,鐵線段,477.95,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,10040000
RPUNMLKLKHOFFAX17CA,鐵線段,477.95,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,10040000
RPQNMLSKKHOFFAX47CA,東澳段,12.58,非都市： ; 非都市編定：,70,6,持分移轉,02860000
RPPNMLQJLHOFFAX17CA,六合段,150.05,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03960009
RPPNMLQJLHOFFAX17CA,六合段,19.85,非都市：一般農業區 ; 非都市編定：交通用地,2240,198,持分移轉,03960018
RPSNMLPKKHOFFAX37CA,東澳段,85.68,非都市： ; 非都市編定：,8,1,持分移轉,09020000
RPXNMLPKKHOFFAX87CA,光榮段,29.31,非都市： ; 非都市編定：,7,1,持分移轉,06820000
RPUNMLPLKHOFFAX67CA,五福段,253.71,非都市：一般農業區 ; 非都市編定：農牧用地,10000,6042,持分移轉,08970000
RPUNMLPLKHOFFAX67CA,五福段,166.20,非都市：一般農業區 ; 非都市編定：農牧用地,10000,3958,持分移轉,08970000
RPPNMLNJLHOFFAX86CA,山水北段,178.84,非都市：一般農業區 ; 非都市編定：農牧用地,1000,244,持分移轉,02290000
RPPNMLNJLHOFFAX86CA,山水北段,180.31,非都市：一般農業區 ; 非都市編定：農牧用地,1000,246,持分移轉,02290000
RPPNMLNJLHOFFAX86CA,山水北段,188.37,非都市：一般農業區 ; 非都市編定：農牧用地,1000,257,持分移轉,02290000
RPPNMLNJLHOFFAX86CA,山水北段,185.44,非都市：一般農業區 ; 非都市編定：農牧用地,1000,253,持分移轉,02290000
RPQNMLOJLHOFFAX07CA,竹篙灣段,579.00,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,36470001
RPPNMLRLKHOFFAX37CA,埕西段,34.31,非都市： ; 非都市編定：,7,1,持分移轉,08310000
RPRNMLNLKHOFFAX27DA,馬公段,74.00,非都市： ; 非都市編定：,1,1,全筆移轉,20210063
RPTNMLTKKHOFFAX87CA,文寮段,209.66,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,12430000
RPTNMLTKKHOFFAX87CA,文寮段,209.66,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,12430000
RPTNMLTKKHOFFAX87CA,文寮段,209.66,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,12430000
RPTNMLTKKHOFFAX87CA,文寮段,209.66,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,12430000
RPTNMLTKKHOFFAX87CA,文寮段,209.66,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,12430000
RPTNMLTKKHOFFAX87CA,文寮段,125.50,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,12440000
RPTNMLTKKHOFFAX87CA,文寮段,125.50,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,12440000
RPTNMLTKKHOFFAX87CA,文寮段,125.50,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,12440000
RPTNMLTKKHOFFAX87CA,文寮段,125.50,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,12440000
RPTNMLTKKHOFFAX87CA,文寮段,125.50,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,12440000
RPQNMLTKKHOFFAX57CA,文化段,188.05,非都市： ; 非都市編定：,1,1,全筆移轉,04410000
RPVNMLKLKHOFFAX37DA,池西段,348.63,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05210001
RPRNMLTKKHOFFAX67CA,北澳段,34.79,非都市： ; 非都市編定：,1,1,全筆移轉,06710000
RPPNMLRJLHOFFAX27CA,大嶼段,138.25,非都市：一般農業區 ; 非都市編定：甲種建築用地,4,1,持分移轉,12800000
RPUNMLRJLHOFFAX77CA,望安段,281.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05920000
